benchmark=c_str_rep_nto,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/c_str_rep_nt_original/29697/sink.s3,0,1.031561
benchmark/laut/c_str_rep_nt_original/32927/sink.s3,0,0.468694
benchmark/laut/c_str_rep_nt_original/20690/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/30060/sink.s3,0,0.473455
benchmark/laut/c_str_rep_nt_original/20771/sink.s3,0,0.470835
benchmark/laut/c_str_rep_nt_original/29569/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17409/sink.s3,0,0.469551
benchmark/laut/c_str_rep_nt_original/30136/sink.s3,t,0.0
benchmark/laut/c_str_rep_nt_original/19456/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17301/sink.s3,0,0.428939
benchmark/laut/c_str_rep_nt_original/25037/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17014/sink.s3,0,0.422079
benchmark/laut/c_str_rep_nt_original/17104/sink.s3,0,0.420809
benchmark/laut/c_str_rep_nt_original/17131/sink.s3,0,0.421762
benchmark/laut/c_str_rep_nt_original/17916/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/29903/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/12119/sink.s3,0,0.065682
benchmark/laut/c_str_rep_nt_original/19418/sink.s3,0,0.422215
benchmark/laut/c_str_rep_nt_original/21170/sink.s3,t,0.0
benchmark/laut/c_str_rep_nt_original/17525/sink.s3,0,0.825905
benchmark/laut/c_str_rep_nt_original/19611/sink.s3,0,0.420881
benchmark/laut/c_str_rep_nt_original/18998/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19543/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19088/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/20871/sink.s3,0,0.420835
benchmark/laut/c_str_rep_nt_original/17271/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/20519/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19767/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17756/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17961/sink.s3,0,0.469165
benchmark/laut/c_str_rep_nt_original/2172/sink.s3,0,0.220908
benchmark/laut/c_str_rep_nt_original/20094/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/25888/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/29766/sink.s3,0,0.574464
benchmark/laut/c_str_rep_nt_original/4418/sink.s3,1,0.219858
benchmark/laut/c_str_rep_nt_original/24717/sink.s3,t,0.0
benchmark/laut/c_str_rep_nt_original/19488/sink.s3,t,0.0
benchmark/laut/c_str_rep_nt_original/21024/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/20916/sink.s3,0,0.471833
benchmark/laut/c_str_rep_nt_original/24522/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19526/sink.s3,0,6.138658
benchmark/laut/c_str_rep_nt_original/8280/sink.s3,0,0.068052
benchmark/laut/c_str_rep_nt_original/29589/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17499/sink.s3,0,0.474402
benchmark/laut/c_str_rep_nt_original/32738/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19373/sink.s3,0,0.524586
benchmark/laut/c_str_rep_nt_original/17951/sink.s3,0,0.422249
benchmark/laut/c_str_rep_nt_original/19192/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/6350/sink.s3,0,0.219026
benchmark/laut/c_str_rep_nt_original/17363/sink.s3,t,0.0
benchmark/laut/c_str_rep_nt_original/20954/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19302/sink.s3,t,0.0
benchmark/laut/c_str_rep_nt_original/20986/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19209/sink.s3,0,0.474173
benchmark/laut/c_str_rep_nt_original/19650/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/21149/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/16958/sink.s3,0,0.419624
benchmark/laut/c_str_rep_nt_original/20850/sink.s3,0,0.475236
benchmark/laut/c_str_rep_nt_original/19352/sink.s3,0,0.474747
