benchmark=c_str_rep_nto,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/c_str_rep_nt_original/29697/sink.trau,0,0.323205
benchmark/laut/c_str_rep_nt_original/32927/sink.trau,0,0.166852
benchmark/laut/c_str_rep_nt_original/20690/sink.trau,0,0.318831
benchmark/laut/c_str_rep_nt_original/30060/sink.trau,0,0.319333
benchmark/laut/c_str_rep_nt_original/20771/sink.trau,0,0.269922
benchmark/laut/c_str_rep_nt_original/29569/sink.trau,0,0.368373
benchmark/laut/c_str_rep_nt_original/17409/sink.trau,0,0.320546
benchmark/laut/c_str_rep_nt_original/30136/sink.trau,0,1.377825
benchmark/laut/c_str_rep_nt_original/19456/sink.trau,0,0.723355
benchmark/laut/c_str_rep_nt_original/17301/sink.trau,0,0.221051
benchmark/laut/c_str_rep_nt_original/25037/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/17014/sink.trau,0,0.222263
benchmark/laut/c_str_rep_nt_original/17104/sink.trau,0,0.218743
benchmark/laut/c_str_rep_nt_original/17131/sink.trau,0,0.221907
benchmark/laut/c_str_rep_nt_original/17916/sink.trau,0,0.317196
benchmark/laut/c_str_rep_nt_original/29903/sink.trau,0,0.519921
benchmark/laut/c_str_rep_nt_original/12119/sink.trau,0,0.221898
benchmark/laut/c_str_rep_nt_original/19418/sink.trau,0,0.222060
benchmark/laut/c_str_rep_nt_original/21170/sink.trau,0,1.281702
benchmark/laut/c_str_rep_nt_original/17525/sink.trau,0,0.422927
benchmark/laut/c_str_rep_nt_original/19611/sink.trau,0,0.167438
benchmark/laut/c_str_rep_nt_original/18998/sink.trau,0,0.317823
benchmark/laut/c_str_rep_nt_original/19543/sink.trau,1,0.471544
benchmark/laut/c_str_rep_nt_original/19088/sink.trau,0,0.472199
benchmark/laut/c_str_rep_nt_original/20871/sink.trau,0,0.224572
benchmark/laut/c_str_rep_nt_original/17271/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/20519/sink.trau,1,0.670380
benchmark/laut/c_str_rep_nt_original/19767/sink.trau,0,0.420005
benchmark/laut/c_str_rep_nt_original/17756/sink.trau,0,0.320859
benchmark/laut/c_str_rep_nt_original/17961/sink.trau,0,0.170218
benchmark/laut/c_str_rep_nt_original/2172/sink.trau,0,0.217448
benchmark/laut/c_str_rep_nt_original/20094/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/25888/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/29766/sink.trau,0,0.369509
benchmark/laut/c_str_rep_nt_original/4418/sink.trau,1,0.519657
benchmark/laut/c_str_rep_nt_original/24717/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/19488/sink.trau,0,0.427155
benchmark/laut/c_str_rep_nt_original/21024/sink.trau,0,0.520494
benchmark/laut/c_str_rep_nt_original/20916/sink.trau,0,0.375018
benchmark/laut/c_str_rep_nt_original/24522/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/19526/sink.trau,0,0.470787
benchmark/laut/c_str_rep_nt_original/8280/sink.trau,0,0.169324
benchmark/laut/c_str_rep_nt_original/29589/sink.trau,0,0.369261
benchmark/laut/c_str_rep_nt_original/17499/sink.trau,0,0.368165
