benchmark=d_str_rep_nt,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/d_str_rep_nt/29697/sink.vmt,0,101.228518,72
benchmark/laut/d_str_rep_nt/32927/sink.vmt,0,373.716441,104
benchmark/laut/d_str_rep_nt/20690/sink.vmt,1,87.635534,91
benchmark/laut/d_str_rep_nt/30060/sink.vmt,0,287.186232,83
benchmark/laut/d_str_rep_nt/20771/sink.vmt,0,251.705591,102
benchmark/laut/d_str_rep_nt/29569/sink.vmt,1,64.956018,99
benchmark/laut/d_str_rep_nt/17409/sink.vmt,0,161.060237,76
benchmark/laut/d_str_rep_nt/30136/sink.vmt,1,126.498934,64
benchmark/laut/d_str_rep_nt/19456/sink.vmt,1,44.230573,53
benchmark/laut/d_str_rep_nt/17301/sink.vmt,0,68.035375,77
benchmark/laut/d_str_rep_nt/25037/sink.vmt,1,75.356305,83
benchmark/laut/d_str_rep_nt/17014/sink.vmt,0,51.072628,52
benchmark/laut/d_str_rep_nt/17104/sink.vmt,0,106.041346,71
benchmark/laut/d_str_rep_nt/17131/sink.vmt,0,66.438975,63
benchmark/laut/d_str_rep_nt/17916/sink.vmt,0,109.468425,77
benchmark/laut/d_str_rep_nt/29903/sink.vmt,1,141.998095,92
benchmark/laut/d_str_rep_nt/12119/sink.vmt,0,31.800130,65
benchmark/laut/d_str_rep_nt/19418/sink.vmt,0,56.442150,61
benchmark/laut/d_str_rep_nt/21170/sink.vmt,1,111.525295,62
benchmark/laut/d_str_rep_nt/17525/sink.vmt,0,274.244467,96
benchmark/laut/d_str_rep_nt/19611/sink.vmt,0,29.380888,61
benchmark/laut/d_str_rep_nt/18998/sink.vmt,1,56.228365,88
benchmark/laut/d_str_rep_nt/19543/sink.vmt,1,1.432542,54
benchmark/laut/d_str_rep_nt/19088/sink.vmt,0,244.373834,80
benchmark/laut/d_str_rep_nt/20871/sink.vmt,0,60.988542,58
benchmark/laut/d_str_rep_nt/17271/sink.vmt,1,142.422678,95
benchmark/laut/d_str_rep_nt/20519/sink.vmt,1,155.450128,93
benchmark/laut/d_str_rep_nt/19767/sink.vmt,0,218.360061,86
benchmark/laut/d_str_rep_nt/17756/sink.vmt,0,266.687435,84
benchmark/laut/d_str_rep_nt/17961/sink.vmt,0,431.786523,155
benchmark/laut/d_str_rep_nt/2172/sink.vmt,0,32.295239,67
benchmark/laut/d_str_rep_nt/20094/sink.vmt,1,13.650513,52
benchmark/laut/d_str_rep_nt/25888/sink.vmt,1,200.815164,187
benchmark/laut/d_str_rep_nt/29766/sink.vmt,0,116.288381,58
benchmark/laut/d_str_rep_nt/4418/sink.vmt,1,34.769197,103
benchmark/laut/d_str_rep_nt/24717/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/19488/sink.vmt,1,140.873042,88
benchmark/laut/d_str_rep_nt/21024/sink.vmt,0,37.299858,43
benchmark/laut/d_str_rep_nt/20916/sink.vmt,0,115.214339,80
benchmark/laut/d_str_rep_nt/24522/sink.vmt,0,48.572296,81
benchmark/laut/d_str_rep_nt/19526/sink.vmt,1,47.817010,57
benchmark/laut/d_str_rep_nt/8280/sink.vmt,0,250.878566,82
benchmark/laut/d_str_rep_nt/29589/sink.vmt,0,101.360770,76
benchmark/laut/d_str_rep_nt/17499/sink.vmt,0,268.951745,92
benchmark/laut/d_str_rep_nt/32738/sink.vmt,1,22.454976,56
benchmark/laut/d_str_rep_nt/19373/sink.vmt,0,210.069680,79
benchmark/laut/d_str_rep_nt/17951/sink.vmt,0,52.603141,63
benchmark/laut/d_str_rep_nt/19192/sink.vmt,0,140.136907,73
benchmark/laut/d_str_rep_nt/6350/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/17363/sink.vmt,1,183.900003,60
benchmark/laut/d_str_rep_nt/20954/sink.vmt,1,170.131647,60
benchmark/laut/d_str_rep_nt/19302/sink.vmt,1,59.674669,53
benchmark/laut/d_str_rep_nt/20986/sink.vmt,0,128.909427,73
benchmark/laut/d_str_rep_nt/19209/sink.vmt,0,56.141744,64
benchmark/laut/d_str_rep_nt/19650/sink.vmt,0,134.890573,80
benchmark/laut/d_str_rep_nt/21149/sink.vmt,0,138.940173,93
benchmark/laut/d_str_rep_nt/16958/sink.vmt,0,50.157514,74
benchmark/laut/d_str_rep_nt/20850/sink.vmt,0,120.775492,68
benchmark/laut/d_str_rep_nt/19352/sink.vmt,0,86.260145,65
benchmark/laut/d_str_rep_nt/19233/sink.vmt,0,158.657121,76
benchmark/laut/d_str_rep_nt/17552/sink.vmt,0,239.743709,91
benchmark/laut/d_str_rep_nt/20652/sink.vmt,1,59.160837,56
benchmark/laut/d_str_rep_nt/17671/sink.vmt,0,84.416127,60
benchmark/laut/d_str_rep_nt/19273/sink.vmt,0,49.003154,66
benchmark/laut/d_str_rep_nt/30220/sink.vmt,1,139.726484,226
benchmark/laut/d_str_rep_nt/17081/sink.vmt,0,261.402224,88
benchmark/laut/d_str_rep_nt/20603/sink.vmt,0,75.194599,64
benchmark/laut/d_str_rep_nt/12130/sink.vmt,0,56.533443,72
benchmark/laut/d_str_rep_nt/31893/sink.vmt,1,48.349872,71
benchmark/laut/d_str_rep_nt/17218/sink.vmt,0,220.423207,92
benchmark/laut/d_str_rep_nt/20707/sink.vmt,0,144.514078,82
benchmark/laut/d_str_rep_nt/29816/sink.vmt,1,220.390027,92
benchmark/laut/d_str_rep_nt/20560/sink.vmt,0,49.265298,57
benchmark/laut/d_str_rep_nt/30232/sink.vmt,1,171.312481,92
benchmark/laut/d_str_rep_nt/21200/sink.vmt,1,49.573110,91
benchmark/laut/d_str_rep_nt/17647/sink.vmt,0,68.543723,69
benchmark/laut/d_str_rep_nt/29438/sink.vmt,0,86.011735,62
benchmark/laut/d_str_rep_nt/21110/sink.vmt,0,39.454238,59
benchmark/laut/d_str_rep_nt/29862/sink.vmt,0,82.544356,70
benchmark/laut/d_str_rep_nt/15976/sink.vmt,0,306.285805,140
benchmark/laut/d_str_rep_nt/30166/sink.vmt,0,155.841738,77
benchmark/laut/d_str_rep_nt/19137/sink.vmt,0,373.387955,97
benchmark/laut/d_str_rep_nt/17892/sink.vmt,1,146.919450,95
benchmark/laut/d_str_rep_nt/20635/sink.vmt,0,83.699693,73
benchmark/laut/d_str_rep_nt/29717/sink.vmt,0,179.658967,85
benchmark/laut/d_str_rep_nt/30076/sink.vmt,1,153.514159,93
benchmark/laut/d_str_rep_nt/6361/sink.vmt,0,66.113198,70
benchmark/laut/d_str_rep_nt/29990/sink.vmt,0,364.541687,72
benchmark/laut/d_str_rep_nt/19062/sink.vmt,0,54.407393,63
benchmark/laut/d_str_rep_nt/20800/sink.vmt,0,127.303454,61
benchmark/laut/d_str_rep_nt/20539/sink.vmt,0,50.535123,67
benchmark/laut/d_str_rep_nt/4429/sink.vmt,1,81.469438,90
benchmark/laut/d_str_rep_nt/20496/sink.vmt,1,57.111379,91
benchmark/laut/d_str_rep_nt/17327/sink.vmt,1,122.642973,102
benchmark/laut/d_str_rep_nt/29837/sink.vmt,0,309.538754,88
benchmark/laut/d_str_rep_nt/20472/sink.vmt,0,18.766055,49
benchmark/laut/d_str_rep_nt/19755/sink.vmt,0,217.789240,139
benchmark/laut/d_str_rep_nt/17241/sink.vmt,0,160.847247,82
benchmark/laut/d_str_rep_nt/29673/sink.vmt,0,80.144168,67
benchmark/laut/d_str_rep_nt/2200/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/21602/sink.vmt,0,105.664041,52
benchmark/laut/d_str_rep_nt/17149/sink.vmt,0,240.770351,76
benchmark/laut/d_str_rep_nt/17172/sink.vmt,0,196.561835,64
benchmark/laut/d_str_rep_nt/29882/sink.vmt,0,78.884062,76
benchmark/laut/d_str_rep_nt/20751/sink.vmt,0,96.622485,83
benchmark/laut/d_str_rep_nt/29656/sink.vmt,1,99.578106,92
benchmark/laut/d_str_rep_nt/19574/sink.vmt,0,57.876213,55
benchmark/laut/d_str_rep_nt/21073/sink.vmt,1,139.237292,91
benchmark/laut/d_str_rep_nt/17778/sink.vmt,0,152.781146,76
benchmark/laut/d_str_rep_nt/30552/sink.vmt,0,3.947592,40
benchmark/laut/d_str_rep_nt/17803/sink.vmt,1,60.859715,95
