benchmark=d_str_rep_nt,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/29697/sink.s3,0,1.079708
benchmark/laut/d_str_rep_nt/32927/sink.s3,0,0.523248
benchmark/laut/d_str_rep_nt/20690/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30060/sink.s3,0,0.472438
benchmark/laut/d_str_rep_nt/20771/sink.s3,0,0.470110
benchmark/laut/d_str_rep_nt/29569/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17409/sink.s3,0,0.420601
benchmark/laut/d_str_rep_nt/30136/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/19456/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17301/sink.s3,0,0.471351
benchmark/laut/d_str_rep_nt/25037/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17014/sink.s3,0,0.421475
benchmark/laut/d_str_rep_nt/17104/sink.s3,0,0.421821
benchmark/laut/d_str_rep_nt/17131/sink.s3,0,0.422269
benchmark/laut/d_str_rep_nt/17916/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29903/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/12119/sink.s3,0,0.378127
benchmark/laut/d_str_rep_nt/19418/sink.s3,0,0.428163
benchmark/laut/d_str_rep_nt/21170/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/17525/sink.s3,0,0.527255
benchmark/laut/d_str_rep_nt/19611/sink.s3,0,0.421010
benchmark/laut/d_str_rep_nt/18998/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19543/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19088/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20871/sink.s3,0,0.418093
benchmark/laut/d_str_rep_nt/17271/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20519/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19767/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17756/sink.s3,0,0.468261
benchmark/laut/d_str_rep_nt/17961/sink.s3,0,0.467834
benchmark/laut/d_str_rep_nt/2172/sink.s3,0,0.068260
benchmark/laut/d_str_rep_nt/20094/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/25888/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29766/sink.s3,0,0.577080
benchmark/laut/d_str_rep_nt/4418/sink.s3,1,0.168608
benchmark/laut/d_str_rep_nt/24717/sink.s3,1,0.920867
benchmark/laut/d_str_rep_nt/19488/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21024/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20916/sink.s3,0,0.424835
benchmark/laut/d_str_rep_nt/24522/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19526/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/8280/sink.s3,0,0.116692
benchmark/laut/d_str_rep_nt/29589/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17499/sink.s3,0,0.476328
benchmark/laut/d_str_rep_nt/32738/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19373/sink.s3,0,0.467654
benchmark/laut/d_str_rep_nt/17951/sink.s3,0,0.419645
benchmark/laut/d_str_rep_nt/19192/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/6350/sink.s3,0,0.168365
benchmark/laut/d_str_rep_nt/17363/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20954/sink.s3,1,1.121834
benchmark/laut/d_str_rep_nt/19302/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20986/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19209/sink.s3,0,0.472094
benchmark/laut/d_str_rep_nt/19650/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21149/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/16958/sink.s3,0,0.416770
benchmark/laut/d_str_rep_nt/20850/sink.s3,0,0.470751
benchmark/laut/d_str_rep_nt/19352/sink.s3,0,0.471355
benchmark/laut/d_str_rep_nt/19233/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17552/sink.s3,0,0.420542
benchmark/laut/d_str_rep_nt/20652/sink.s3,1,0.881546
benchmark/laut/d_str_rep_nt/17671/sink.s3,0,0.472894
benchmark/laut/d_str_rep_nt/19273/sink.s3,0,0.419224
benchmark/laut/d_str_rep_nt/30220/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/17081/sink.s3,0,0.471377
benchmark/laut/d_str_rep_nt/20603/sink.s3,0,0.729615
benchmark/laut/d_str_rep_nt/12130/sink.s3,0,0.120615
benchmark/laut/d_str_rep_nt/31893/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17218/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20707/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29816/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20560/sink.s3,0,0.772893
benchmark/laut/d_str_rep_nt/30232/sink.s3,0,0.571464
benchmark/laut/d_str_rep_nt/21200/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17647/sink.s3,0,0.418444
benchmark/laut/d_str_rep_nt/29438/sink.s3,0,0.574167
benchmark/laut/d_str_rep_nt/21110/sink.s3,0,0.470517
benchmark/laut/d_str_rep_nt/29862/sink.s3,0,0.421287
benchmark/laut/d_str_rep_nt/15976/sink.s3,0,0.065361
