benchmark=d_str_rep_nt,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/29697/sink.trau,0,1.033491
benchmark/laut/d_str_rep_nt/32927/sink.trau,0,0.222447
benchmark/laut/d_str_rep_nt/20690/sink.trau,0,0.372504
benchmark/laut/d_str_rep_nt/30060/sink.trau,0,0.322926
benchmark/laut/d_str_rep_nt/20771/sink.trau,0,0.319603
benchmark/laut/d_str_rep_nt/29569/sink.trau,0,0.373385
benchmark/laut/d_str_rep_nt/17409/sink.trau,0,0.272070
benchmark/laut/d_str_rep_nt/30136/sink.trau,0,0.519424
benchmark/laut/d_str_rep_nt/19456/sink.trau,0,0.575423
benchmark/laut/d_str_rep_nt/17301/sink.trau,0,0.220099
benchmark/laut/d_str_rep_nt/25037/sink.trau,1,2.700783
benchmark/laut/d_str_rep_nt/17014/sink.trau,0,0.220572
benchmark/laut/d_str_rep_nt/17104/sink.trau,0,0.222089
benchmark/laut/d_str_rep_nt/17131/sink.trau,0,0.167760
benchmark/laut/d_str_rep_nt/17916/sink.trau,0,0.369945
benchmark/laut/d_str_rep_nt/29903/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/12119/sink.trau,0,0.220349
benchmark/laut/d_str_rep_nt/19418/sink.trau,0,0.222123
benchmark/laut/d_str_rep_nt/21170/sink.trau,0,1.933204
benchmark/laut/d_str_rep_nt/17525/sink.trau,0,0.417976
benchmark/laut/d_str_rep_nt/19611/sink.trau,0,0.217242
benchmark/laut/d_str_rep_nt/18998/sink.trau,0,0.420497
benchmark/laut/d_str_rep_nt/19543/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19088/sink.trau,0,0.420786
benchmark/laut/d_str_rep_nt/20871/sink.trau,0,0.222270
benchmark/laut/d_str_rep_nt/17271/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20519/sink.trau,1,0.731339
benchmark/laut/d_str_rep_nt/19767/sink.trau,0,0.471188
benchmark/laut/d_str_rep_nt/17756/sink.trau,0,0.475842
benchmark/laut/d_str_rep_nt/17961/sink.trau,0,0.220345
benchmark/laut/d_str_rep_nt/2172/sink.trau,0,0.168938
benchmark/laut/d_str_rep_nt/20094/sink.trau,1,0.773480
benchmark/laut/d_str_rep_nt/25888/sink.trau,1,4.817150
benchmark/laut/d_str_rep_nt/29766/sink.trau,0,0.272421
benchmark/laut/d_str_rep_nt/4418/sink.trau,1,0.469812
benchmark/laut/d_str_rep_nt/24717/sink.trau,0,0.773917
benchmark/laut/d_str_rep_nt/19488/sink.trau,0,0.721016
benchmark/laut/d_str_rep_nt/21024/sink.trau,0,0.523292
benchmark/laut/d_str_rep_nt/20916/sink.trau,0,0.376860
benchmark/laut/d_str_rep_nt/24522/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19526/sink.trau,0,0.673353
benchmark/laut/d_str_rep_nt/8280/sink.trau,0,0.216942
benchmark/laut/d_str_rep_nt/29589/sink.trau,0,0.372726
benchmark/laut/d_str_rep_nt/17499/sink.trau,0,0.320449
benchmark/laut/d_str_rep_nt/32738/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19373/sink.trau,0,0.321297
benchmark/laut/d_str_rep_nt/17951/sink.trau,0,0.221050
benchmark/laut/d_str_rep_nt/19192/sink.trau,0,0.420171
benchmark/laut/d_str_rep_nt/6350/sink.trau,0,0.166820
benchmark/laut/d_str_rep_nt/17363/sink.trau,1,0.872934
benchmark/laut/d_str_rep_nt/20954/sink.trau,1,0.824889
benchmark/laut/d_str_rep_nt/19302/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20986/sink.trau,0,0.477393
benchmark/laut/d_str_rep_nt/19209/sink.trau,0,0.217734
benchmark/laut/d_str_rep_nt/19650/sink.trau,0,0.419394
benchmark/laut/d_str_rep_nt/21149/sink.trau,0,0.418738
benchmark/laut/d_str_rep_nt/16958/sink.trau,0,0.165442
benchmark/laut/d_str_rep_nt/20850/sink.trau,0,0.270654
benchmark/laut/d_str_rep_nt/19352/sink.trau,0,0.316715
benchmark/laut/d_str_rep_nt/19233/sink.trau,0,0.468222
benchmark/laut/d_str_rep_nt/17552/sink.trau,0,0.423381
benchmark/laut/d_str_rep_nt/20652/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17671/sink.trau,0,0.222181
benchmark/laut/d_str_rep_nt/19273/sink.trau,0,0.267248
benchmark/laut/d_str_rep_nt/30220/sink.trau,0,0.772392
benchmark/laut/d_str_rep_nt/17081/sink.trau,0,0.318700
benchmark/laut/d_str_rep_nt/20603/sink.trau,0,0.275161
benchmark/laut/d_str_rep_nt/12130/sink.trau,0,0.218694
benchmark/laut/d_str_rep_nt/31893/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17218/sink.trau,0,0.371281
benchmark/laut/d_str_rep_nt/20707/sink.trau,0,0.521459
benchmark/laut/d_str_rep_nt/29816/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20560/sink.trau,0,0.219159
benchmark/laut/d_str_rep_nt/30232/sink.trau,0,0.322135
benchmark/laut/d_str_rep_nt/21200/sink.trau,0,0.471539
benchmark/laut/d_str_rep_nt/17647/sink.trau,0,0.221881
benchmark/laut/d_str_rep_nt/29438/sink.trau,0,0.469798
benchmark/laut/d_str_rep_nt/21110/sink.trau,0,0.318946
benchmark/laut/d_str_rep_nt/29862/sink.trau,0,0.217808
benchmark/laut/d_str_rep_nt/15976/sink.trau,0,0.220723
benchmark/laut/d_str_rep_nt/30166/sink.trau,0,0.476042
benchmark/laut/d_str_rep_nt/19137/sink.trau,0,0.377198
benchmark/laut/d_str_rep_nt/17892/sink.trau,1,0.570439
benchmark/laut/d_str_rep_nt/20635/sink.trau,0,0.222483
benchmark/laut/d_str_rep_nt/29717/sink.trau,0,0.371411
benchmark/laut/d_str_rep_nt/30076/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/6361/sink.trau,0,0.219070
benchmark/laut/d_str_rep_nt/29990/sink.trau,0,0.578350
benchmark/laut/d_str_rep_nt/19062/sink.trau,0,0.220953
benchmark/laut/d_str_rep_nt/20800/sink.trau,0,1.226476
benchmark/laut/d_str_rep_nt/20539/sink.trau,0,0.222725
benchmark/laut/d_str_rep_nt/4429/sink.trau,1,0.625016
benchmark/laut/d_str_rep_nt/20496/sink.trau,0,0.372780
benchmark/laut/d_str_rep_nt/17327/sink.trau,1,0.819217
benchmark/laut/d_str_rep_nt/29837/sink.trau,0,0.369347
benchmark/laut/d_str_rep_nt/20472/sink.trau,0,0.217727
benchmark/laut/d_str_rep_nt/19755/sink.trau,0,0.220503
benchmark/laut/d_str_rep_nt/17241/sink.trau,0,0.369472
benchmark/laut/d_str_rep_nt/29673/sink.trau,0,0.219811
benchmark/laut/d_str_rep_nt/2200/sink.trau,0,0.168540
benchmark/laut/d_str_rep_nt/21602/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17149/sink.trau,0,0.423619
benchmark/laut/d_str_rep_nt/17172/sink.trau,0,0.570813
benchmark/laut/d_str_rep_nt/29882/sink.trau,0,0.169135
benchmark/laut/d_str_rep_nt/20751/sink.trau,0,0.320096
benchmark/laut/d_str_rep_nt/29656/sink.trau,0,0.422416
benchmark/laut/d_str_rep_nt/19574/sink.trau,0,0.219440
benchmark/laut/d_str_rep_nt/21073/sink.trau,0,0.520435
benchmark/laut/d_str_rep_nt/17778/sink.trau,0,0.317640
benchmark/laut/d_str_rep_nt/30552/sink.trau,0,0.171054
benchmark/laut/d_str_rep_nt/17803/sink.trau,0,0.377951
benchmark/laut/d_str_rep_nt/19719/sink.trau,0,0.369588
benchmark/laut/d_str_rep_nt/17829/sink.trau,0,0.218011
benchmark/laut/d_str_rep_nt/19125/sink.trau,0,0.425061
benchmark/laut/d_str_rep_nt/29485/sink.trau,0,0.367350
benchmark/laut/d_str_rep_nt/17728/sink.trau,0,0.217560
benchmark/laut/d_str_rep_nt/26404/sink.trau,0,0.170256
benchmark/laut/d_str_rep_nt/31586/sink.trau,0,0.167913
benchmark/laut/d_str_rep_nt/20896/sink.trau,0,0.369430
benchmark/laut/d_str_rep_nt/17621/sink.trau,1,0.725677
benchmark/laut/d_str_rep_nt/29618/sink.trau,0,0.271406
benchmark/laut/d_str_rep_nt/30115/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20731/sink.trau,1,0.724712
benchmark/laut/d_str_rep_nt/20586/sink.trau,0,0.218832
benchmark/laut/d_str_rep_nt/21266/sink.trau,0,0.369507
benchmark/laut/d_str_rep_nt/30007/sink.trau,1,9.843834
benchmark/laut/d_str_rep_nt/17688/sink.trau,1,8.760298
benchmark/laut/d_str_rep_nt/19154/sink.trau,0,0.521016
benchmark/laut/d_str_rep_nt/19041/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/21254/sink.trau,0,0.166564
benchmark/laut/d_str_rep_nt/16988/sink.trau,0,0.368083
benchmark/laut/d_str_rep_nt/29796/sink.trau,0,1.623552
