benchmark=d_str_rep_nt,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/d_str_rep_nt/17829/sink.vmt,0,102.859174,75
benchmark/laut/d_str_rep_nt/19611/sink.vmt,0,32.965394,61
benchmark/laut/d_str_rep_nt/19745/sink.vmt,0,172.837677,81
benchmark/laut/d_str_rep_nt/19439/sink.vmt,0,261.974518,83
benchmark/laut/d_str_rep_nt/21244/sink.vmt,0,87.732578,77
benchmark/laut/d_str_rep_nt/30220/sink.vmt,1,171.163989,226
benchmark/laut/d_str_rep_nt/19302/sink.vmt,1,75.781107,53
benchmark/laut/d_str_rep_nt/20472/sink.vmt,0,20.403220,49
benchmark/laut/d_str_rep_nt/14064/sink.vmt,0,597.934267,109
benchmark/laut/d_str_rep_nt/19701/sink.vmt,0,128.039091,72
benchmark/laut/d_str_rep_nt/29837/sink.vmt,0,344.928509,88
benchmark/laut/d_str_rep_nt/29697/sink.vmt,0,114.005526,72
benchmark/laut/d_str_rep_nt/21218/sink.vmt,0,90.964173,62
benchmark/laut/d_str_rep_nt/6350/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/30007/sink.vmt,1,30.138013,56
benchmark/laut/d_str_rep_nt/17499/sink.vmt,0,330.476600,92
benchmark/laut/d_str_rep_nt/19526/sink.vmt,1,52.254621,57
benchmark/laut/d_str_rep_nt/19332/sink.vmt,0,131.635384,71
benchmark/laut/d_str_rep_nt/20731/sink.vmt,1,161.569900,92
benchmark/laut/d_str_rep_nt/17688/sink.vmt,1,9.822960,51
benchmark/laut/d_str_rep_nt/18998/sink.vmt,1,65.715002,88
benchmark/laut/d_str_rep_nt/19021/sink.vmt,0,126.241742,76
benchmark/laut/d_str_rep_nt/17461/sink.vmt,0,104.133218,64
benchmark/laut/d_str_rep_nt/29766/sink.vmt,0,128.537260,58
benchmark/laut/d_str_rep_nt/19253/sink.vmt,0,118.082608,86
benchmark/laut/d_str_rep_nt/19154/sink.vmt,0,92.010569,57
benchmark/laut/d_str_rep_nt/19543/sink.vmt,1,1.684136,54
benchmark/laut/d_str_rep_nt/18493/sink.vmt,1,18.037474,50
benchmark/laut/d_str_rep_nt/20850/sink.vmt,0,134.404767,68
benchmark/laut/d_str_rep_nt/20751/sink.vmt,0,102.952608,83
benchmark/laut/d_str_rep_nt/12119/sink.vmt,0,35.614873,65
benchmark/laut/d_str_rep_nt/30210/sink.vmt,0,168.116384,81
benchmark/laut/d_str_rep_nt/29589/sink.vmt,0,114.260704,76
