benchmark=d_str_rep_nt,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/17829/sink.s3,0,0.421538
benchmark/laut/d_str_rep_nt/19611/sink.s3,0,0.421369
benchmark/laut/d_str_rep_nt/19745/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19439/sink.s3,0,0.470322
benchmark/laut/d_str_rep_nt/21244/sink.s3,0,0.419149
benchmark/laut/d_str_rep_nt/30220/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19302/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20472/sink.s3,0,0.421936
benchmark/laut/d_str_rep_nt/14064/sink.s3,0,0.066469
benchmark/laut/d_str_rep_nt/19701/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29837/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29697/sink.s3,0,0.426522
benchmark/laut/d_str_rep_nt/21218/sink.s3,0,0.420922
benchmark/laut/d_str_rep_nt/6350/sink.s3,0,0.167088
benchmark/laut/d_str_rep_nt/30007/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17499/sink.s3,0,0.468925
benchmark/laut/d_str_rep_nt/19526/sink.s3,0,16.226527
benchmark/laut/d_str_rep_nt/19332/sink.s3,0,0.474546
benchmark/laut/d_str_rep_nt/20731/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17688/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/18998/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19021/sink.s3,0,0.440639
benchmark/laut/d_str_rep_nt/17461/sink.s3,0,0.472604
benchmark/laut/d_str_rep_nt/29766/sink.s3,0,0.517948
benchmark/laut/d_str_rep_nt/19253/sink.s3,0,0.472864
benchmark/laut/d_str_rep_nt/19154/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19543/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/18493/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20850/sink.s3,0,0.419139
benchmark/laut/d_str_rep_nt/20751/sink.s3,0,0.471341
benchmark/laut/d_str_rep_nt/12119/sink.s3,0,0.068453
benchmark/laut/d_str_rep_nt/30210/sink.s3,0,0.519434
benchmark/laut/d_str_rep_nt/29589/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/10209/sink.s3,1,0.168597
benchmark/laut/d_str_rep_nt/12130/sink.s3,0,0.070265
benchmark/laut/d_str_rep_nt/19105/sink.s3,0,0.417859
benchmark/laut/d_str_rep_nt/21266/sink.s3,0,0.422215
benchmark/laut/d_str_rep_nt/20896/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29438/sink.s3,0,0.569561
benchmark/laut/d_str_rep_nt/20707/sink.s3,0,0.473493
benchmark/laut/d_str_rep_nt/20871/sink.s3,0,0.431090
benchmark/laut/d_str_rep_nt/16927/sink.s3,0,0.473120
benchmark/laut/d_str_rep_nt/17045/sink.s3,0,0.474114
benchmark/laut/d_str_rep_nt/20560/sink.s3,0,0.527332
benchmark/laut/d_str_rep_nt/17434/sink.s3,0,0.623213
benchmark/laut/d_str_rep_nt/33236/sink.s3,0,0.420425
benchmark/laut/d_str_rep_nt/17892/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21200/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29485/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19125/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29656/sink.s3,x,0.000000
benchmark/laut/d_str_rep_nt/20830/sink.s3,0,0.469318
benchmark/laut/d_str_rep_nt/30136/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/31586/sink.s3,0,0.467296
benchmark/laut/d_str_rep_nt/20690/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19574/sink.s3,0,0.471028
benchmark/laut/d_str_rep_nt/30184/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17979/sink.s3,0,0.424439
benchmark/laut/d_str_rep_nt/4418/sink.s3,1,0.168835
benchmark/laut/d_str_rep_nt/19192/sink.s3,0,0.619297
benchmark/laut/d_str_rep_nt/14053/sink.s3,0,0.069549
benchmark/laut/d_str_rep_nt/29505/sink.s3,0,0.422112
benchmark/laut/d_str_rep_nt/29737/sink.s3,0,0.474614
benchmark/laut/d_str_rep_nt/17271/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29601/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19398/sink.s3,0,0.475375
benchmark/laut/d_str_rep_nt/17856/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/25037/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21602/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30552/sink.s3,0,0.426969
benchmark/laut/d_str_rep_nt/29462/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/26404/sink.s3,0,0.419171
benchmark/laut/d_str_rep_nt/19767/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20519/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/18974/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17961/sink.s3,0,0.470876
benchmark/laut/d_str_rep_nt/19488/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30060/sink.s3,0,0.578182
benchmark/laut/d_str_rep_nt/19755/sink.s3,0,0.472776
benchmark/laut/d_str_rep_nt/20916/sink.s3,0,0.522040
benchmark/laut/d_str_rep_nt/17218/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20586/sink.s3,0,0.418585
benchmark/laut/d_str_rep_nt/17241/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19508/sink.s3,0,0.470837
benchmark/laut/d_str_rep_nt/17301/sink.s3,0,0.473550
