benchmark=d_str_rep_nt,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/17829/sink.s3,0,1.086004
benchmark/laut/d_str_rep_nt/19611/sink.s3,0,0.468802
benchmark/laut/d_str_rep_nt/19745/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19439/sink.s3,0,0.527869
benchmark/laut/d_str_rep_nt/21244/sink.s3,0,0.470849
benchmark/laut/d_str_rep_nt/30220/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19302/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20472/sink.s3,0,0.417464
benchmark/laut/d_str_rep_nt/14064/sink.s3,0,0.166155
benchmark/laut/d_str_rep_nt/19701/sink.s3,0,0.723608
benchmark/laut/d_str_rep_nt/29837/sink.s3,0,0.571071
benchmark/laut/d_str_rep_nt/29697/sink.s3,0,0.420211
benchmark/laut/d_str_rep_nt/21218/sink.s3,0,0.472639
benchmark/laut/d_str_rep_nt/6350/sink.s3,0,0.173395
benchmark/laut/d_str_rep_nt/30007/sink.s3,1,0.923606
benchmark/laut/d_str_rep_nt/17499/sink.s3,0,0.522086
benchmark/laut/d_str_rep_nt/19526/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19332/sink.s3,0,0.470519
benchmark/laut/d_str_rep_nt/20731/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17688/sink.s3,1,0.922434
benchmark/laut/d_str_rep_nt/18998/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19021/sink.s3,0,0.468094
benchmark/laut/d_str_rep_nt/17461/sink.s3,0,0.575433
benchmark/laut/d_str_rep_nt/29766/sink.s3,0,0.478594
benchmark/laut/d_str_rep_nt/19253/sink.s3,0,0.469443
benchmark/laut/d_str_rep_nt/19154/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19543/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/18493/sink.s3,1,0.878836
benchmark/laut/d_str_rep_nt/20850/sink.s3,0,0.425738
benchmark/laut/d_str_rep_nt/20751/sink.s3,0,0.727374
benchmark/laut/d_str_rep_nt/12119/sink.s3,0,0.166896
benchmark/laut/d_str_rep_nt/30210/sink.s3,0,0.569173
benchmark/laut/d_str_rep_nt/29589/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/10209/sink.s3,1,0.185458
benchmark/laut/d_str_rep_nt/12130/sink.s3,0,0.067546
benchmark/laut/d_str_rep_nt/19105/sink.s3,0,0.420873
benchmark/laut/d_str_rep_nt/21266/sink.s3,0,0.523549
benchmark/laut/d_str_rep_nt/20896/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29438/sink.s3,0,0.570732
benchmark/laut/d_str_rep_nt/20707/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20871/sink.s3,0,0.472004
benchmark/laut/d_str_rep_nt/16927/sink.s3,0,0.520871
benchmark/laut/d_str_rep_nt/17045/sink.s3,0,0.469385
benchmark/laut/d_str_rep_nt/20560/sink.s3,0,0.467294
benchmark/laut/d_str_rep_nt/17434/sink.s3,0,0.568914
benchmark/laut/d_str_rep_nt/33236/sink.s3,0,0.469274
benchmark/laut/d_str_rep_nt/17892/sink.s3,1,0.975624
benchmark/laut/d_str_rep_nt/21200/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29485/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19125/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29656/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20830/sink.s3,0,0.475017
benchmark/laut/d_str_rep_nt/30136/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/31586/sink.s3,0,0.568315
benchmark/laut/d_str_rep_nt/20690/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19574/sink.s3,0,0.422507
benchmark/laut/d_str_rep_nt/30184/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17979/sink.s3,0,0.470242
benchmark/laut/d_str_rep_nt/4418/sink.s3,1,0.219844
benchmark/laut/d_str_rep_nt/19192/sink.s3,0,0.619640
benchmark/laut/d_str_rep_nt/14053/sink.s3,0,0.066513
benchmark/laut/d_str_rep_nt/29505/sink.s3,0,0.471277
benchmark/laut/d_str_rep_nt/29737/sink.s3,0,0.468617
benchmark/laut/d_str_rep_nt/17271/sink.s3,1,0.921037
benchmark/laut/d_str_rep_nt/29601/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19398/sink.s3,0,0.423820
benchmark/laut/d_str_rep_nt/17856/sink.s3,0,0.520820
benchmark/laut/d_str_rep_nt/25037/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21602/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30552/sink.s3,0,0.419497
benchmark/laut/d_str_rep_nt/29462/sink.s3,1,0.973508
benchmark/laut/d_str_rep_nt/26404/sink.s3,0,0.419334
benchmark/laut/d_str_rep_nt/19767/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20519/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/18974/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17961/sink.s3,0,0.475813
benchmark/laut/d_str_rep_nt/19488/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30060/sink.s3,0,0.472796
benchmark/laut/d_str_rep_nt/19755/sink.s3,0,0.468342
benchmark/laut/d_str_rep_nt/20916/sink.s3,0,0.469530
benchmark/laut/d_str_rep_nt/17218/sink.s3,0,0.477265
benchmark/laut/d_str_rep_nt/20586/sink.s3,0,0.368044
benchmark/laut/d_str_rep_nt/17241/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19508/sink.s3,0,0.418751
benchmark/laut/d_str_rep_nt/17301/sink.s3,0,0.418246
benchmark/laut/d_str_rep_nt/21041/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30232/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17728/sink.s3,0,0.472575
benchmark/laut/d_str_rep_nt/19456/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20986/sink.s3,0,0.469678
benchmark/laut/d_str_rep_nt/21006/sink.s3,0,0.420393
benchmark/laut/d_str_rep_nt/17409/sink.s3,0,0.476508
benchmark/laut/d_str_rep_nt/29990/sink.s3,0,0.625523
benchmark/laut/d_str_rep_nt/19595/sink.s3,0,0.472706
benchmark/laut/d_str_rep_nt/17172/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20603/sink.s3,0,0.477536
benchmark/laut/d_str_rep_nt/10220/sink.s3,0,0.427062
benchmark/laut/d_str_rep_nt/21073/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/4429/sink.s3,1,0.171234
benchmark/laut/d_str_rep_nt/17014/sink.s3,0,0.443982
benchmark/laut/d_str_rep_nt/29526/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/17916/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21170/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/31893/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30166/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20635/sink.s3,0,0.424051
benchmark/laut/d_str_rep_nt/20771/sink.s3,0,0.471198
benchmark/laut/d_str_rep_nt/17104/sink.s3,0,0.475835
benchmark/laut/d_str_rep_nt/20800/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19671/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/17778/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29673/sink.s3,0,0.470961
benchmark/laut/d_str_rep_nt/19273/sink.s3,0,0.523793
benchmark/laut/d_str_rep_nt/32927/sink.s3,0,0.472656
benchmark/laut/d_str_rep_nt/21149/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/15976/sink.s3,0,0.065762
benchmark/laut/d_str_rep_nt/25888/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19719/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/15965/sink.s3,0,0.064809
benchmark/laut/d_str_rep_nt/29618/sink.s3,0,0.470172
benchmark/laut/d_str_rep_nt/19209/sink.s3,0,0.469691
benchmark/laut/d_str_rep_nt/20496/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19418/sink.s3,0,0.469125
benchmark/laut/d_str_rep_nt/19373/sink.s3,0,0.476129
benchmark/laut/d_str_rep_nt/19137/sink.s3,0,0.572475
benchmark/laut/d_str_rep_nt/31391/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29552/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29796/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/32738/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17671/sink.s3,0,0.524937
benchmark/laut/d_str_rep_nt/29717/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17647/sink.s3,0,0.422163
benchmark/laut/d_str_rep_nt/29862/sink.s3,0,0.420616
benchmark/laut/d_str_rep_nt/30095/sink.s3,0,0.470997
benchmark/laut/d_str_rep_nt/29903/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17552/sink.s3,0,0.418410
benchmark/laut/d_str_rep_nt/21129/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21024/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/8280/sink.s3,0,0.170612
benchmark/laut/d_str_rep_nt/17149/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19630/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20937/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19650/sink.s3,0,8.709591
benchmark/laut/d_str_rep_nt/17575/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19088/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21254/sink.s3,0,0.574352
benchmark/laut/d_str_rep_nt/30115/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/8291/sink.s3,0,0.176608
benchmark/laut/d_str_rep_nt/19062/sink.s3,0,0.420392
benchmark/laut/d_str_rep_nt/2172/sink.s3,0,0.068707
benchmark/laut/d_str_rep_nt/26083/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30076/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/6361/sink.s3,0,0.170111
benchmark/laut/d_str_rep_nt/21110/sink.s3,0,0.477603
benchmark/laut/d_str_rep_nt/29920/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29882/sink.s3,0,0.473117
benchmark/laut/d_str_rep_nt/17621/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/16958/sink.s3,0,0.779128
benchmark/laut/d_str_rep_nt/21094/sink.s3,1,0.974363
benchmark/laut/d_str_rep_nt/29569/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17327/sink.s3,1,0.921983
benchmark/laut/d_str_rep_nt/20094/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20539/sink.s3,0,0.417874
benchmark/laut/d_str_rep_nt/29952/sink.s3,0,0.472147
benchmark/laut/d_str_rep_nt/20623/sink.s3,0,0.473275
benchmark/laut/d_str_rep_nt/17951/sink.s3,0,0.424175
benchmark/laut/d_str_rep_nt/17131/sink.s3,0,0.427362
benchmark/laut/d_str_rep_nt/19041/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17525/sink.s3,0,0.476181
benchmark/laut/d_str_rep_nt/16988/sink.s3,0,0.426374
benchmark/laut/d_str_rep_nt/20652/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19233/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17803/sink.s3,1,1.236333
benchmark/laut/d_str_rep_nt/2200/sink.s3,0,0.069480
benchmark/laut/d_str_rep_nt/20954/sink.s3,1,1.073527
benchmark/laut/d_str_rep_nt/29972/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30039/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19352/sink.s3,0,0.470994
benchmark/laut/d_str_rep_nt/17081/sink.s3,0,0.476334
benchmark/laut/d_str_rep_nt/24522/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17363/sink.s3,1,1.085039
benchmark/laut/d_str_rep_nt/24717/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29816/sink.s3,0,372.362379
benchmark/laut/d_str_rep_nt/17756/sink.s3,x,0.0
