benchmark=d_str_rep_nt,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/17829/sink.trau,0,1.078860
benchmark/laut/d_str_rep_nt/19611/sink.trau,0,0.168027
benchmark/laut/d_str_rep_nt/19745/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19439/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/21244/sink.trau,0,0.169175
benchmark/laut/d_str_rep_nt/30220/sink.trau,0,0.877547
benchmark/laut/d_str_rep_nt/19302/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20472/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/14064/sink.trau,0,0.166266
benchmark/laut/d_str_rep_nt/19701/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/29837/sink.trau,0,0.782815
benchmark/laut/d_str_rep_nt/29697/sink.trau,0,0.167806
benchmark/laut/d_str_rep_nt/21218/sink.trau,0,0.178791
benchmark/laut/d_str_rep_nt/6350/sink.trau,0,0.167920
benchmark/laut/d_str_rep_nt/30007/sink.trau,1,11.454083
benchmark/laut/d_str_rep_nt/17499/sink.trau,0,0.672540
benchmark/laut/d_str_rep_nt/19526/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19332/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20731/sink.trau,1,9.109929
benchmark/laut/d_str_rep_nt/17688/sink.trau,1,10.190827
benchmark/laut/d_str_rep_nt/18998/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19021/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17461/sink.trau,0,0.166676
benchmark/laut/d_str_rep_nt/29766/sink.trau,0,0.268024
benchmark/laut/d_str_rep_nt/19253/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19154/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19543/sink.trau,1,0.619514
benchmark/laut/d_str_rep_nt/18493/sink.trau,1,16.744450
benchmark/laut/d_str_rep_nt/20850/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20751/sink.trau,0,1.082908
benchmark/laut/d_str_rep_nt/12119/sink.trau,0,0.223272
benchmark/laut/d_str_rep_nt/30210/sink.trau,0,0.826632
benchmark/laut/d_str_rep_nt/29589/sink.trau,0,0.722349
benchmark/laut/d_str_rep_nt/10209/sink.trau,1,0.873986
benchmark/laut/d_str_rep_nt/12130/sink.trau,0,0.167078
benchmark/laut/d_str_rep_nt/19105/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/21266/sink.trau,0,0.518314
benchmark/laut/d_str_rep_nt/20896/sink.trau,0,0.476727
benchmark/laut/d_str_rep_nt/29438/sink.trau,0,0.822672
benchmark/laut/d_str_rep_nt/20707/sink.trau,0,0.920151
benchmark/laut/d_str_rep_nt/20871/sink.trau,0,0.168618
benchmark/laut/d_str_rep_nt/16927/sink.trau,0,0.167321
benchmark/laut/d_str_rep_nt/17045/sink.trau,0,0.522008
benchmark/laut/d_str_rep_nt/20560/sink.trau,0,0.172238
