benchmark=d_str_rep_nt,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/17829/sink.trau,0,1.196333
benchmark/laut/d_str_rep_nt/19611/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19745/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19439/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/21244/sink.trau,0,0.218559
benchmark/laut/d_str_rep_nt/30220/sink.trau,0,0.772485
benchmark/laut/d_str_rep_nt/19302/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20472/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/14064/sink.trau,0,0.170258
benchmark/laut/d_str_rep_nt/19701/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/29837/sink.trau,0,0.470519
benchmark/laut/d_str_rep_nt/29697/sink.trau,0,0.175288
benchmark/laut/d_str_rep_nt/21218/sink.trau,0,0.166360
benchmark/laut/d_str_rep_nt/6350/sink.trau,0,0.171067
benchmark/laut/d_str_rep_nt/30007/sink.trau,1,11.549620
benchmark/laut/d_str_rep_nt/17499/sink.trau,0,0.320155
benchmark/laut/d_str_rep_nt/19526/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19332/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20731/sink.trau,1,0.569602
benchmark/laut/d_str_rep_nt/17688/sink.trau,1,10.382912
benchmark/laut/d_str_rep_nt/18998/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19021/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17461/sink.trau,0,0.178924
benchmark/laut/d_str_rep_nt/29766/sink.trau,0,0.219588
benchmark/laut/d_str_rep_nt/19253/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19154/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19543/sink.trau,1,0.671617
benchmark/laut/d_str_rep_nt/18493/sink.trau,1,15.476020
benchmark/laut/d_str_rep_nt/20850/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20751/sink.trau,0,0.476953
benchmark/laut/d_str_rep_nt/12119/sink.trau,0,0.221314
benchmark/laut/d_str_rep_nt/30210/sink.trau,0,0.374279
benchmark/laut/d_str_rep_nt/29589/sink.trau,0,0.518767
benchmark/laut/d_str_rep_nt/10209/sink.trau,1,0.484438
benchmark/laut/d_str_rep_nt/12130/sink.trau,0,0.178501
benchmark/laut/d_str_rep_nt/19105/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/21266/sink.trau,0,0.368347
benchmark/laut/d_str_rep_nt/20896/sink.trau,0,0.368960
benchmark/laut/d_str_rep_nt/29438/sink.trau,0,0.469569
benchmark/laut/d_str_rep_nt/20707/sink.trau,0,0.368014
benchmark/laut/d_str_rep_nt/20871/sink.trau,0,0.167500
benchmark/laut/d_str_rep_nt/16927/sink.trau,0,0.222288
benchmark/laut/d_str_rep_nt/17045/sink.trau,0,0.473854
benchmark/laut/d_str_rep_nt/20560/sink.trau,0,0.218425
benchmark/laut/d_str_rep_nt/17434/sink.trau,0,0.517538
benchmark/laut/d_str_rep_nt/33236/sink.trau,0,0.175963
benchmark/laut/d_str_rep_nt/17892/sink.trau,1,0.777446
benchmark/laut/d_str_rep_nt/21200/sink.trau,1,0.721712
benchmark/laut/d_str_rep_nt/29485/sink.trau,0,0.369237
benchmark/laut/d_str_rep_nt/19125/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/29656/sink.trau,0,0.368060
benchmark/laut/d_str_rep_nt/20830/sink.trau,0,0.321844
benchmark/laut/d_str_rep_nt/30136/sink.trau,0,0.569879
benchmark/laut/d_str_rep_nt/31586/sink.trau,0,0.169593
benchmark/laut/d_str_rep_nt/20690/sink.trau,0,0.371334
benchmark/laut/d_str_rep_nt/19574/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/30184/sink.trau,0,0.370892
benchmark/laut/d_str_rep_nt/17979/sink.trau,0,0.169070
benchmark/laut/d_str_rep_nt/4418/sink.trau,1,0.522639
benchmark/laut/d_str_rep_nt/19192/sink.trau,0,0.422734
benchmark/laut/d_str_rep_nt/14053/sink.trau,0,0.168805
benchmark/laut/d_str_rep_nt/29505/sink.trau,0,0.170840
benchmark/laut/d_str_rep_nt/29737/sink.trau,0,0.167169
benchmark/laut/d_str_rep_nt/17271/sink.trau,1,0.620605
benchmark/laut/d_str_rep_nt/29601/sink.trau,0,0.366131
benchmark/laut/d_str_rep_nt/19398/sink.trau,x,0.0
