benchmark=e-str-rep,solver=abc,TO=3600.000000
path,sat,time,step
benchmark/laut/e-str-rep-new/8277/sink.abc,1,1031.474966,85
benchmark/laut/e-str-rep-new/2992/sink.abc,0,0.214608,4
benchmark/laut/e-str-rep-new/4415/sink.abc,1,1438.684109,91
benchmark/laut/e-str-rep-new/10934/sink.abc,1,0.314573,29
benchmark/laut/e-str-rep-new/2174/sink.abc,1,1.266777,28
benchmark/laut/e-str-rep-new/3049/sink.abc,0,0.164241,4
benchmark/laut/e-str-rep-new/12871/sink.abc,1,178.457110,46
benchmark/laut/e-str-rep-new/6347/sink.abc,0,0.865945,14
benchmark/laut/e-str-rep-new/8275/sink.abc,0,335.137508,27
benchmark/laut/e-str-rep-new/2183/sink.abc,0,0.915909,12
benchmark/laut/e-str-rep-new/598/sink.abc,1,1.066142,14
benchmark/laut/e-str-rep-new/14048/sink.abc,1,1739.079733,46
benchmark/laut/e-str-rep-new/2178/sink.abc,1,2.820341,26
benchmark/laut/e-str-rep-new/2184/sink.abc,1,1.366859,22
benchmark/laut/e-str-rep-new/2164/sink.abc,0,1.667403,6
benchmark/laut/e-str-rep-new/12114/sink.abc,1,32.995447,24
benchmark/laut/e-str-rep-new/10204/sink.abc,1,58.249501,15
benchmark/laut/e-str-rep-new/29348/sink.abc,1,80.002989,73
benchmark/laut/e-str-rep-new/2182/sink.abc,1,0.364627,14
benchmark/laut/e-str-rep-new/2179/sink.abc,1,1.366821,12
benchmark/laut/e-str-rep-new/15962/sink.abc,t,0.0,0
benchmark/laut/e-str-rep-new/29326/sink.abc,0,30.941011,89
benchmark/laut/e-str-rep-new/14050/sink.abc,0,2.670869,26
benchmark/laut/e-str-rep-new/4413/sink.abc,1,197.865463,25
benchmark/laut/e-str-rep-new/3237/sink.abc,1,3.572954,38
benchmark/laut/e-str-rep-new/29300/sink.abc,0,0.564975,14
benchmark/laut/e-str-rep-new/2166/sink.abc,t,0.0,0
benchmark/laut/e-str-rep-new/15960/sink.abc,0,3.372326,6
benchmark/laut/e-str-rep-new/7102/sink.abc,1,0.515095,10
benchmark/laut/e-str-rep-new/14787/sink.abc,0,0.865881,8
benchmark/laut/e-str-rep-new/2181/sink.abc,1,6.580666,45
benchmark/laut/e-str-rep-new/29337/sink.abc,0,6.631208,40
benchmark/laut/e-str-rep-new/2180/sink.abc,0,0.715682,14
benchmark/laut/e-str-rep-new/9032/sink.abc,1,1.367009,14
benchmark/laut/e-str-rep-new/10206/sink.abc,t,0.0,0
benchmark/laut/e-str-rep-new/5169/sink.abc,1,30.679704,29
benchmark/laut/e-str-rep-new/16760/sink.abc,1,2.318688,31
benchmark/laut/e-str-rep-new/6345/sink.abc,1,170.667341,30
benchmark/laut/e-str-rep-new/16749/sink.abc,1,8.629538,58
benchmark/laut/e-str-rep-new/12116/sink.abc,0,15.843145,47
benchmark/laut/e-str-rep-new/16769/sink.abc,1,3.519841,17
benchmark/laut/e-str-rep-new/16778/sink.abc,1,5.523346,27
benchmark/laut/e-str-rep-new/3072/sink.abc,0,0.264792,10
benchmark/laut/e-str-rep-new/2176/sink.abc,1,1.215852,28
