benchmark=e-str-rep,solver=ic3ia,TO=3600.000000
path,sat,time,step
benchmark/laut/e-str-rep-new/2184/sink.vmt,1,1.538898,16
benchmark/laut/e-str-rep-new/12871/sink.vmt,1,3.601026,45
benchmark/laut/e-str-rep-new/6347/sink.vmt,0,270.743427,74
benchmark/laut/e-str-rep-new/8275/sink.vmt,0,0.471949,3
benchmark/laut/e-str-rep-new/14787/sink.vmt,0,0.424734,8
benchmark/laut/e-str-rep-new/8277/sink.vmt,1,43.658027,99
benchmark/laut/e-str-rep-new/2174/sink.vmt,1,3.681562,27
benchmark/laut/e-str-rep-new/3049/sink.vmt,0,0.120099,5
benchmark/laut/e-str-rep-new/12116/sink.vmt,0,391.529493,89
benchmark/laut/e-str-rep-new/29326/sink.vmt,0,24.730293,79
benchmark/laut/e-str-rep-new/14050/sink.vmt,0,114.737626,102
benchmark/laut/e-str-rep-new/2166/sink.vmt,1,65.356702,87
benchmark/laut/e-str-rep-new/2181/sink.vmt,1,4.253165,29
benchmark/laut/e-str-rep-new/16769/sink.vmt,1,1.430263,16
benchmark/laut/e-str-rep-new/7102/sink.vmt,1,0.368539,10
benchmark/laut/e-str-rep-new/10204/sink.vmt,1,8.906436,14
benchmark/laut/e-str-rep-new/14048/sink.vmt,1,26.349426,45
benchmark/laut/e-str-rep-new/3237/sink.vmt,1,2.585727,24
benchmark/laut/e-str-rep-new/16778/sink.vmt,1,3.078940,26
benchmark/laut/e-str-rep-new/29348/sink.vmt,1,16.554779,72
benchmark/laut/e-str-rep-new/29300/sink.vmt,0,10.978482,72
benchmark/laut/e-str-rep-new/15962/sink.vmt,1,260.216232,234
benchmark/laut/e-str-rep-new/16749/sink.vmt,1,3.753566,25
benchmark/laut/e-str-rep-new/2179/sink.vmt,1,0.319013,11
benchmark/laut/e-str-rep-new/12114/sink.vmt,1,27.185042,23
benchmark/laut/e-str-rep-new/5169/sink.vmt,1,6.526777,24
benchmark/laut/e-str-rep-new/2182/sink.vmt,1,0.318709,11
benchmark/laut/e-str-rep-new/2164/sink.vmt,0,0.319937,6
benchmark/laut/e-str-rep-new/2176/sink.vmt,1,3.682262,27
benchmark/laut/e-str-rep-new/15960/sink.vmt,0,1.736657,7
benchmark/laut/e-str-rep-new/2992/sink.vmt,0,0.120217,5
benchmark/laut/e-str-rep-new/4413/sink.vmt,1,44.107416,24
benchmark/laut/e-str-rep-new/2183/sink.vmt,0,7.908161,22
benchmark/laut/e-str-rep-new/4415/sink.vmt,1,69.313657,90
benchmark/laut/e-str-rep-new/2180/sink.vmt,0,3.749887,15
benchmark/laut/e-str-rep-new/2178/sink.vmt,1,2.237140,22
benchmark/laut/e-str-rep-new/10934/sink.vmt,1,1.884760,19
benchmark/laut/e-str-rep-new/3072/sink.vmt,0,0.122420,5
benchmark/laut/e-str-rep-new/598/sink.vmt,1,0.577990,14
benchmark/laut/e-str-rep-new/9032/sink.vmt,1,0.569713,14
benchmark/laut/e-str-rep-new/6345/sink.vmt,1,69.614258,24
benchmark/laut/e-str-rep-new/29337/sink.vmt,0,16.067938,71
benchmark/laut/e-str-rep-new/10206/sink.vmt,1,98.022565,88
benchmark/laut/e-str-rep-new/16760/sink.vmt,1,4.409752,26
