benchmark=e-str-rep,solver=sloth,TO=3600.000000
path,sat,time
benchmark/laut/e-str-rep-new/8277/sink.smt2,1,599.742312
benchmark/laut/e-str-rep-new/2992/sink.smt2,1,3.222615
benchmark/laut/e-str-rep-new/4415/sink.smt2,1,440.143765
benchmark/laut/e-str-rep-new/10934/sink.smt2,1,3.522325
benchmark/laut/e-str-rep-new/2174/sink.smt2,1,2.519525
benchmark/laut/e-str-rep-new/3049/sink.smt2,1,3.321592
benchmark/laut/e-str-rep-new/12871/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/6347/sink.smt2,0,5.125269
benchmark/laut/e-str-rep-new/8275/sink.smt2,1,132.807816
benchmark/laut/e-str-rep-new/2183/sink.smt2,1,3.823585
benchmark/laut/e-str-rep-new/598/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/14048/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/2178/sink.smt2,1,3.922753
benchmark/laut/e-str-rep-new/2184/sink.smt2,1,3.522103
benchmark/laut/e-str-rep-new/2164/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/12114/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/10204/sink.smt2,1,105.754209
benchmark/laut/e-str-rep-new/29348/sink.smt2,1,219.932524
benchmark/laut/e-str-rep-new/2182/sink.smt2,1,4.022867
benchmark/laut/e-str-rep-new/2179/sink.smt2,1,3.721947
benchmark/laut/e-str-rep-new/15962/sink.smt2,1,972.747707
benchmark/laut/e-str-rep-new/29326/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/14050/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/4413/sink.smt2,1,115.377994
benchmark/laut/e-str-rep-new/3237/sink.smt2,1,3.424802
benchmark/laut/e-str-rep-new/29300/sink.smt2,0,3.523577
benchmark/laut/e-str-rep-new/2166/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/15960/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/7102/sink.smt2,1,3.171144
benchmark/laut/e-str-rep-new/14787/sink.smt2,1,7.630656
benchmark/laut/e-str-rep-new/2181/sink.smt2,1,3.875144
benchmark/laut/e-str-rep-new/29337/sink.smt2,0,3.672107
benchmark/laut/e-str-rep-new/2180/sink.smt2,1,3.824021
benchmark/laut/e-str-rep-new/9032/sink.smt2,1,3.321577
benchmark/laut/e-str-rep-new/10206/sink.smt2,1,634.902473
benchmark/laut/e-str-rep-new/5169/sink.smt2,1,3.672033
benchmark/laut/e-str-rep-new/16760/sink.smt2,x,0.000000
benchmark/laut/e-str-rep-new/6345/sink.smt2,1,118.284488
benchmark/laut/e-str-rep-new/16749/sink.smt2,1,3.220820
benchmark/laut/e-str-rep-new/12116/sink.smt2,0,148.416063
benchmark/laut/e-str-rep-new/16769/sink.smt2,1,2.469744
benchmark/laut/e-str-rep-new/16778/sink.smt2,1,2.419864
benchmark/laut/e-str-rep-new/3072/sink.smt2,1,2.269255
benchmark/laut/e-str-rep-new/2176/sink.smt2,1,1.868916
