benchmark=e_str_rep,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/e_str_rep/2184/sink.vmt,1,1.328257,15
benchmark/laut/e_str_rep/12871/sink.vmt,1,4.004310,44
benchmark/laut/e_str_rep/6347/sink.vmt,0,68.806059,65
benchmark/laut/e_str_rep/8275/sink.vmt,0,0.372635,4
benchmark/laut/e_str_rep/14787/sink.vmt,0,0.274898,5
benchmark/laut/e_str_rep/8277/sink.vmt,1,33.972747,84
benchmark/laut/e_str_rep/2174/sink.vmt,1,3.614800,27
benchmark/laut/e_str_rep/3049/sink.vmt,0,0.116417,4
benchmark/laut/e_str_rep/12116/sink.vmt,0,180.777185,72
benchmark/laut/e_str_rep/29326/sink.vmt,0,28.404525,68
benchmark/laut/e_str_rep/14050/sink.vmt,0,192.386232,105
benchmark/laut/e_str_rep/2166/sink.vmt,1,66.307102,87
benchmark/laut/e_str_rep/2181/sink.vmt,1,6.889645,29
benchmark/laut/e_str_rep/16769/sink.vmt,1,1.125302,16
benchmark/laut/e_str_rep/7102/sink.vmt,1,0.520367,10
benchmark/laut/e_str_rep/10204/sink.vmt,1,10.723064,14
benchmark/laut/e_str_rep/14048/sink.vmt,1,27.904244,45
benchmark/laut/e_str_rep/3237/sink.vmt,1,2.867699,24
benchmark/laut/e_str_rep/16778/sink.vmt,1,3.870594,26
benchmark/laut/e_str_rep/29348/sink.vmt,1,17.068127,72
benchmark/laut/e_str_rep/29300/sink.vmt,0,7.936038,74
benchmark/laut/e_str_rep/15962/sink.vmt,1,572.435440,234
benchmark/laut/e_str_rep/16749/sink.vmt,1,3.298750,25
benchmark/laut/e_str_rep/2179/sink.vmt,1,0.267178,11
benchmark/laut/e_str_rep/12114/sink.vmt,1,24.639715,23
benchmark/laut/e_str_rep/5169/sink.vmt,1,6.175185,24
benchmark/laut/e_str_rep/2182/sink.vmt,1,0.269601,11
benchmark/laut/e_str_rep/2164/sink.vmt,0,0.419246,7
benchmark/laut/e_str_rep/2176/sink.vmt,1,3.395783,27
benchmark/laut/e_str_rep/15960/sink.vmt,0,1.430872,6
benchmark/laut/e_str_rep/2992/sink.vmt,0,0.119653,4
benchmark/laut/e_str_rep/4413/sink.vmt,1,131.980746,25
benchmark/laut/e_str_rep/2183/sink.vmt,0,10.362825,21
benchmark/laut/e_str_rep/4415/sink.vmt,1,60.599758,90
benchmark/laut/e_str_rep/2180/sink.vmt,0,6.464954,17
benchmark/laut/e_str_rep/2178/sink.vmt,1,1.922719,22
benchmark/laut/e_str_rep/10934/sink.vmt,1,1.683297,19
benchmark/laut/e_str_rep/3072/sink.vmt,0,0.119582,4
benchmark/laut/e_str_rep/598/sink.vmt,1,0.621901,13
benchmark/laut/e_str_rep/9032/sink.vmt,1,0.568736,13
benchmark/laut/e_str_rep/6345/sink.vmt,1,106.273357,24
benchmark/laut/e_str_rep/29337/sink.vmt,0,28.829816,70
benchmark/laut/e_str_rep/10206/sink.vmt,1,99.764774,88
benchmark/laut/e_str_rep/16760/sink.vmt,1,3.550955,26
