benchmark=e_str_rep,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/e_str_rep/2184/sink.s3,1,0.067525
benchmark/laut/e_str_rep/12871/sink.s3,1,0.117432
benchmark/laut/e_str_rep/6347/sink.s3,0,0.469351
benchmark/laut/e_str_rep/8275/sink.s3,x,0.0
benchmark/laut/e_str_rep/14787/sink.s3,0,0.066306
benchmark/laut/e_str_rep/8277/sink.s3,1,0.871668
benchmark/laut/e_str_rep/2174/sink.s3,1,0.818277
benchmark/laut/e_str_rep/3049/sink.s3,1,0.774158
benchmark/laut/e_str_rep/12116/sink.s3,0,0.419610
benchmark/laut/e_str_rep/29326/sink.s3,0,0.071553
benchmark/laut/e_str_rep/14050/sink.s3,0,0.420273
benchmark/laut/e_str_rep/2166/sink.s3,t,0.0
benchmark/laut/e_str_rep/2181/sink.s3,1,0.270250
benchmark/laut/e_str_rep/16769/sink.s3,1,0.067161
benchmark/laut/e_str_rep/7102/sink.s3,1,0.119299
benchmark/laut/e_str_rep/10204/sink.s3,1,0.167461
benchmark/laut/e_str_rep/14048/sink.s3,1,0.165875
benchmark/laut/e_str_rep/3237/sink.s3,1,0.119147
benchmark/laut/e_str_rep/16778/sink.s3,x,0.0
benchmark/laut/e_str_rep/29348/sink.s3,1,0.119579
benchmark/laut/e_str_rep/29300/sink.s3,0,0.033149
benchmark/laut/e_str_rep/15962/sink.s3,1,0.824342
benchmark/laut/e_str_rep/16749/sink.s3,1,0.067705
benchmark/laut/e_str_rep/2179/sink.s3,1,0.067585
benchmark/laut/e_str_rep/12114/sink.s3,1,0.169755
benchmark/laut/e_str_rep/5169/sink.s3,x,0.0
benchmark/laut/e_str_rep/2182/sink.s3,1,0.069788
benchmark/laut/e_str_rep/2164/sink.s3,x,0.0
benchmark/laut/e_str_rep/2176/sink.s3,1,0.820256
benchmark/laut/e_str_rep/15960/sink.s3,0,0.116343
benchmark/laut/e_str_rep/2992/sink.s3,1,0.770241
benchmark/laut/e_str_rep/4413/sink.s3,1,0.169341
benchmark/laut/e_str_rep/2183/sink.s3,x,0.0
benchmark/laut/e_str_rep/4415/sink.s3,1,0.772706
benchmark/laut/e_str_rep/2180/sink.s3,x,0.0
benchmark/laut/e_str_rep/2178/sink.s3,1,0.066388
benchmark/laut/e_str_rep/10934/sink.s3,1,0.118540
benchmark/laut/e_str_rep/3072/sink.s3,x,0.0
benchmark/laut/e_str_rep/598/sink.s3,1,0.119378
benchmark/laut/e_str_rep/9032/sink.s3,1,0.119800
benchmark/laut/e_str_rep/6345/sink.s3,x,0.000000
benchmark/laut/e_str_rep/29337/sink.s3,0,0.068782
benchmark/laut/e_str_rep/10206/sink.s3,1,0.778331
benchmark/laut/e_str_rep/16760/sink.s3,1,0.116892
