benchmark=e_str_rep,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/e_str_rep/2184/sink.trau,x,0.0
benchmark/laut/e_str_rep/12871/sink.trau,x,0.0
benchmark/laut/e_str_rep/6347/sink.trau,0,0.116080
benchmark/laut/e_str_rep/8275/sink.trau,x,0.0
benchmark/laut/e_str_rep/14787/sink.trau,0,0.116445
benchmark/laut/e_str_rep/8277/sink.trau,x,0.0
benchmark/laut/e_str_rep/2174/sink.trau,x,0.0
benchmark/laut/e_str_rep/3049/sink.trau,1,0.172175
benchmark/laut/e_str_rep/12116/sink.trau,0,0.119081
benchmark/laut/e_str_rep/29326/sink.trau,0,0.117174
benchmark/laut/e_str_rep/14050/sink.trau,0,0.122343
benchmark/laut/e_str_rep/2166/sink.trau,x,0.0
benchmark/laut/e_str_rep/2181/sink.trau,1,0.168671
benchmark/laut/e_str_rep/16769/sink.trau,x,0.0
benchmark/laut/e_str_rep/7102/sink.trau,1,0.226294
benchmark/laut/e_str_rep/10204/sink.trau,x,0.0
benchmark/laut/e_str_rep/14048/sink.trau,x,0.0
benchmark/laut/e_str_rep/3237/sink.trau,x,0.0
benchmark/laut/e_str_rep/16778/sink.trau,1,0.221304
benchmark/laut/e_str_rep/29348/sink.trau,x,0.0
benchmark/laut/e_str_rep/29300/sink.trau,0,0.323164
benchmark/laut/e_str_rep/15962/sink.trau,x,0.0
benchmark/laut/e_str_rep/16749/sink.trau,1,0.219520
benchmark/laut/e_str_rep/2179/sink.trau,x,0.0
benchmark/laut/e_str_rep/12114/sink.trau,x,0.0
benchmark/laut/e_str_rep/5169/sink.trau,x,0.0
benchmark/laut/e_str_rep/2182/sink.trau,1,0.172509
benchmark/laut/e_str_rep/2164/sink.trau,x,0.0
benchmark/laut/e_str_rep/2176/sink.trau,x,0.0
benchmark/laut/e_str_rep/15960/sink.trau,0,0.219698
benchmark/laut/e_str_rep/2992/sink.trau,1,0.170779
benchmark/laut/e_str_rep/4413/sink.trau,x,0.0
benchmark/laut/e_str_rep/2183/sink.trau,t,0.0
benchmark/laut/e_str_rep/4415/sink.trau,1,0.421519
benchmark/laut/e_str_rep/2180/sink.trau,t,0.0
benchmark/laut/e_str_rep/2178/sink.trau,x,0.0
benchmark/laut/e_str_rep/10934/sink.trau,x,0.0
benchmark/laut/e_str_rep/3072/sink.trau,0,0.119154
benchmark/laut/e_str_rep/598/sink.trau,x,0.0
benchmark/laut/e_str_rep/9032/sink.trau,x,0.0
benchmark/laut/e_str_rep/6345/sink.trau,x,0.0
benchmark/laut/e_str_rep/29337/sink.trau,0,1.299463
benchmark/laut/e_str_rep/10206/sink.trau,1,0.420919
benchmark/laut/e_str_rep/16760/sink.trau,x,0.0
