benchmark=e_str_rep,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/e_str_rep/2184/sink.vmt,0,19.757976,30
benchmark/laut/e_str_rep/12871/sink.vmt,1,8.456576,45
benchmark/laut/e_str_rep/6347/sink.vmt,1,88.838755,90
benchmark/laut/e_str_rep/8275/sink.vmt,0,0.320734,4
benchmark/laut/e_str_rep/14787/sink.vmt,0,0.220072,5
benchmark/laut/e_str_rep/8277/sink.vmt,0,22.816019,69
benchmark/laut/e_str_rep/2174/sink.vmt,1,3.384436,18
benchmark/laut/e_str_rep/3049/sink.vmt,0,0.119178,4
benchmark/laut/e_str_rep/12116/sink.vmt,t,0.0,0
benchmark/laut/e_str_rep/29326/sink.vmt,0,27.018787,68
benchmark/laut/e_str_rep/14050/sink.vmt,0,53.724310,94
benchmark/laut/e_str_rep/2166/sink.vmt,0,481.381622,87
benchmark/laut/e_str_rep/2181/sink.vmt,1,2.337520,19
benchmark/laut/e_str_rep/16769/sink.vmt,1,0.424755,10
benchmark/laut/e_str_rep/7102/sink.vmt,1,0.622149,13
benchmark/laut/e_str_rep/10204/sink.vmt,0,5.264860,16
benchmark/laut/e_str_rep/14048/sink.vmt,0,168.171867,67
benchmark/laut/e_str_rep/3237/sink.vmt,0,0.366787,15
benchmark/laut/e_str_rep/16778/sink.vmt,1,0.878685,11
benchmark/laut/e_str_rep/29348/sink.vmt,0,28.762953,108
benchmark/laut/e_str_rep/29300/sink.vmt,0,36.131558,78
benchmark/laut/e_str_rep/15962/sink.vmt,t,0.0,0
benchmark/laut/e_str_rep/16749/sink.vmt,0,0.669902,12
benchmark/laut/e_str_rep/2179/sink.vmt,0,24.870804,25
benchmark/laut/e_str_rep/12114/sink.vmt,1,20.706941,17
benchmark/laut/e_str_rep/5169/sink.vmt,1,1.074406,15
benchmark/laut/e_str_rep/2182/sink.vmt,1,0.269884,11
benchmark/laut/e_str_rep/2164/sink.vmt,0,0.369758,7
benchmark/laut/e_str_rep/2176/sink.vmt,1,2.240593,14
benchmark/laut/e_str_rep/15960/sink.vmt,0,0.877736,6
benchmark/laut/e_str_rep/2992/sink.vmt,0,0.116124,4
benchmark/laut/e_str_rep/4413/sink.vmt,1,53.890066,21
benchmark/laut/e_str_rep/2183/sink.vmt,1,5.629769,22
benchmark/laut/e_str_rep/4415/sink.vmt,0,169.284673,115
benchmark/laut/e_str_rep/2180/sink.vmt,0,0.468511,11
benchmark/laut/e_str_rep/2178/sink.vmt,1,4.519113,31
benchmark/laut/e_str_rep/10934/sink.vmt,1,0.628340,15
benchmark/laut/e_str_rep/3072/sink.vmt,0,0.119386,4
benchmark/laut/e_str_rep/598/sink.vmt,1,1.729976,19
benchmark/laut/e_str_rep/9032/sink.vmt,0,0.420411,13
benchmark/laut/e_str_rep/6345/sink.vmt,0,18.638749,16
benchmark/laut/e_str_rep/29337/sink.vmt,0,28.302278,70
benchmark/laut/e_str_rep/10206/sink.vmt,0,93.003808,84
benchmark/laut/e_str_rep/16760/sink.vmt,1,2.991124,25
