benchmark=e_str_rep,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/e_str_rep/2184/sink.s3,x,0.0
benchmark/laut/e_str_rep/12871/sink.s3,1,0.172200
benchmark/laut/e_str_rep/6347/sink.s3,x,0.000000
benchmark/laut/e_str_rep/8275/sink.s3,x,0.0
benchmark/laut/e_str_rep/14787/sink.s3,0,0.068455
benchmark/laut/e_str_rep/8277/sink.s3,0,0.369116
benchmark/laut/e_str_rep/2174/sink.s3,1,0.777948
benchmark/laut/e_str_rep/3049/sink.s3,1,0.718478
benchmark/laut/e_str_rep/12116/sink.s3,0,0.420991
benchmark/laut/e_str_rep/29326/sink.s3,0,0.067356
benchmark/laut/e_str_rep/14050/sink.s3,0,0.419639
benchmark/laut/e_str_rep/2166/sink.s3,0,0.421824
benchmark/laut/e_str_rep/2181/sink.s3,1,0.116202
benchmark/laut/e_str_rep/16769/sink.s3,1,0.115995
benchmark/laut/e_str_rep/7102/sink.s3,x,0.0
benchmark/laut/e_str_rep/10204/sink.s3,0,0.122629
benchmark/laut/e_str_rep/14048/sink.s3,0,0.069294
benchmark/laut/e_str_rep/3237/sink.s3,0,0.068003
benchmark/laut/e_str_rep/16778/sink.s3,1,0.117616
benchmark/laut/e_str_rep/29348/sink.s3,0,0.067786
benchmark/laut/e_str_rep/29300/sink.s3,0,0.034393
benchmark/laut/e_str_rep/15962/sink.s3,0,0.375976
benchmark/laut/e_str_rep/16749/sink.s3,x,0.0
benchmark/laut/e_str_rep/2179/sink.s3,x,0.0
benchmark/laut/e_str_rep/12114/sink.s3,1,0.168002
benchmark/laut/e_str_rep/5169/sink.s3,x,0.000000
benchmark/laut/e_str_rep/2182/sink.s3,1,0.118294
benchmark/laut/e_str_rep/2164/sink.s3,x,0.0
benchmark/laut/e_str_rep/2176/sink.s3,1,0.820914
benchmark/laut/e_str_rep/15960/sink.s3,1,0.166770
benchmark/laut/e_str_rep/2992/sink.s3,1,0.719370
benchmark/laut/e_str_rep/4413/sink.s3,1,0.218094
benchmark/laut/e_str_rep/2183/sink.s3,1,0.116933
benchmark/laut/e_str_rep/4415/sink.s3,0,0.416512
benchmark/laut/e_str_rep/2180/sink.s3,t,0.0
benchmark/laut/e_str_rep/2178/sink.s3,1,0.120160
benchmark/laut/e_str_rep/10934/sink.s3,1,0.117500
benchmark/laut/e_str_rep/3072/sink.s3,1,0.671405
benchmark/laut/e_str_rep/598/sink.s3,1,0.115419
benchmark/laut/e_str_rep/9032/sink.s3,0,0.118292
benchmark/laut/e_str_rep/6345/sink.s3,x,0.0
benchmark/laut/e_str_rep/29337/sink.s3,0,0.067320
benchmark/laut/e_str_rep/10206/sink.s3,0,0.376683
benchmark/laut/e_str_rep/16760/sink.s3,1,0.118411
