benchmark=e_str_rep,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/e_str_rep/2184/sink.trau,t,0.0
benchmark/laut/e_str_rep/12871/sink.trau,x,0.0
benchmark/laut/e_str_rep/6347/sink.trau,x,0.0
benchmark/laut/e_str_rep/8275/sink.trau,x,0.0
benchmark/laut/e_str_rep/14787/sink.trau,0,0.117731
benchmark/laut/e_str_rep/8277/sink.trau,0,0.119042
benchmark/laut/e_str_rep/2174/sink.trau,1,0.218576
benchmark/laut/e_str_rep/3049/sink.trau,1,0.169662
benchmark/laut/e_str_rep/12116/sink.trau,0,0.116391
benchmark/laut/e_str_rep/29326/sink.trau,0,0.117539
benchmark/laut/e_str_rep/14050/sink.trau,0,0.116745
benchmark/laut/e_str_rep/2166/sink.trau,0,0.169900
benchmark/laut/e_str_rep/2181/sink.trau,1,0.167073
benchmark/laut/e_str_rep/16769/sink.trau,x,0.0
benchmark/laut/e_str_rep/7102/sink.trau,1,0.220924
benchmark/laut/e_str_rep/10204/sink.trau,x,0.0
benchmark/laut/e_str_rep/14048/sink.trau,0,0.221919
benchmark/laut/e_str_rep/3237/sink.trau,0,0.066186
benchmark/laut/e_str_rep/16778/sink.trau,1,0.219693
benchmark/laut/e_str_rep/29348/sink.trau,0,0.067927
benchmark/laut/e_str_rep/29300/sink.trau,0,0.120001
benchmark/laut/e_str_rep/15962/sink.trau,0,0.120359
benchmark/laut/e_str_rep/16749/sink.trau,t,0.0
benchmark/laut/e_str_rep/2179/sink.trau,t,0.0
benchmark/laut/e_str_rep/12114/sink.trau,x,0.0
benchmark/laut/e_str_rep/5169/sink.trau,0,0.217638
benchmark/laut/e_str_rep/2182/sink.trau,1,0.168473
benchmark/laut/e_str_rep/2164/sink.trau,x,0.0
benchmark/laut/e_str_rep/2176/sink.trau,1,0.218816
benchmark/laut/e_str_rep/15960/sink.trau,x,0.0
benchmark/laut/e_str_rep/2992/sink.trau,1,0.369535
benchmark/laut/e_str_rep/4413/sink.trau,x,0.0
benchmark/laut/e_str_rep/2183/sink.trau,1,0.374014
benchmark/laut/e_str_rep/4415/sink.trau,0,1.193588
benchmark/laut/e_str_rep/2180/sink.trau,x,0.0
benchmark/laut/e_str_rep/2178/sink.trau,x,0.0
benchmark/laut/e_str_rep/10934/sink.trau,x,0.0
benchmark/laut/e_str_rep/3072/sink.trau,1,0.120137
benchmark/laut/e_str_rep/598/sink.trau,x,0.0
benchmark/laut/e_str_rep/9032/sink.trau,x,0.0
benchmark/laut/e_str_rep/6345/sink.trau,x,0.0
benchmark/laut/e_str_rep/29337/sink.trau,0,1.555188
benchmark/laut/e_str_rep/10206/sink.trau,0,0.165041
benchmark/laut/e_str_rep/16760/sink.trau,x,0.0
