benchmark=e_str_rep,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/e_str_rep/6345/sink.vmt,1,124.013622,24
benchmark/laut/e_str_rep/2992/sink.vmt,0,0.117626,4
benchmark/laut/e_str_rep/15962/sink.vmt,t,0.0,0
benchmark/laut/e_str_rep/2181/sink.vmt,1,7.120560,29
benchmark/laut/e_str_rep/14787/sink.vmt,0,0.319740,5
benchmark/laut/e_str_rep/16769/sink.vmt,1,1.174980,16
benchmark/laut/e_str_rep/598/sink.vmt,1,0.622313,13
benchmark/laut/e_str_rep/15960/sink.vmt,0,1.478474,6
benchmark/laut/e_str_rep/3072/sink.vmt,0,0.118589,4
benchmark/laut/e_str_rep/16778/sink.vmt,1,4.270527,26
benchmark/laut/e_str_rep/12114/sink.vmt,1,27.159544,23
benchmark/laut/e_str_rep/10204/sink.vmt,1,12.228694,14
benchmark/laut/e_str_rep/2180/sink.vmt,0,7.019872,17
benchmark/laut/e_str_rep/5169/sink.vmt,1,6.518350,24
benchmark/laut/e_str_rep/14050/sink.vmt,0,202.845503,105
benchmark/laut/e_str_rep/2164/sink.vmt,0,0.425136,7
benchmark/laut/e_str_rep/3237/sink.vmt,1,2.988756,24
benchmark/laut/e_str_rep/29337/sink.vmt,0,31.452104,70
benchmark/laut/e_str_rep/6347/sink.vmt,0,71.195730,65
benchmark/laut/e_str_rep/12116/sink.vmt,0,180.831035,72
benchmark/laut/e_str_rep/9032/sink.vmt,1,0.573281,13
benchmark/laut/e_str_rep/8277/sink.vmt,1,33.556986,84
benchmark/laut/e_str_rep/7102/sink.vmt,1,0.526474,10
benchmark/laut/e_str_rep/29300/sink.vmt,0,8.343231,74
benchmark/laut/e_str_rep/2176/sink.vmt,1,3.655806,27
benchmark/laut/e_str_rep/2174/sink.vmt,1,3.591468,27
benchmark/laut/e_str_rep/2184/sink.vmt,1,1.276935,15
benchmark/laut/e_str_rep/12871/sink.vmt,1,4.045259,44
benchmark/laut/e_str_rep/3049/sink.vmt,0,0.117188,4
benchmark/laut/e_str_rep/2179/sink.vmt,1,0.318989,11
benchmark/laut/e_str_rep/2178/sink.vmt,1,2.084761,22
benchmark/laut/e_str_rep/2166/sink.vmt,1,70.735007,87
benchmark/laut/e_str_rep/10934/sink.vmt,1,1.826949,19
benchmark/laut/e_str_rep/10206/sink.vmt,1,107.177727,88
benchmark/laut/e_str_rep/2182/sink.vmt,1,0.328192,11
benchmark/laut/e_str_rep/29326/sink.vmt,0,32.969299,68
benchmark/laut/e_str_rep/4415/sink.vmt,1,65.567650,90
benchmark/laut/e_str_rep/16760/sink.vmt,1,3.685926,26
benchmark/laut/e_str_rep/16749/sink.vmt,1,3.282946,25
benchmark/laut/e_str_rep/4413/sink.vmt,1,141.653466,25
benchmark/laut/e_str_rep/29348/sink.vmt,1,22.664000,72
benchmark/laut/e_str_rep/8275/sink.vmt,0,0.471929,4
benchmark/laut/e_str_rep/2183/sink.vmt,0,14.664027,21
benchmark/laut/e_str_rep/14048/sink.vmt,1,36.693002,45
