benchmark=e_str_rep,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/e_str_rep/6345/sink.s3,x,0.0
benchmark/laut/e_str_rep/2992/sink.s3,1,0.725176
benchmark/laut/e_str_rep/15962/sink.s3,1,0.772039
benchmark/laut/e_str_rep/2181/sink.s3,1,0.065537
benchmark/laut/e_str_rep/14787/sink.s3,0,0.034925
benchmark/laut/e_str_rep/16769/sink.s3,1,0.065620
benchmark/laut/e_str_rep/598/sink.s3,x,0.0
benchmark/laut/e_str_rep/15960/sink.s3,0,0.045665
benchmark/laut/e_str_rep/3072/sink.s3,x,0.0
benchmark/laut/e_str_rep/16778/sink.s3,x,0.0
benchmark/laut/e_str_rep/12114/sink.s3,1,0.179130
benchmark/laut/e_str_rep/10204/sink.s3,x,0.0
benchmark/laut/e_str_rep/2180/sink.s3,x,0.0
benchmark/laut/e_str_rep/5169/sink.s3,x,0.0
benchmark/laut/e_str_rep/14050/sink.s3,0,0.370206
benchmark/laut/e_str_rep/2164/sink.s3,x,0.0
benchmark/laut/e_str_rep/3237/sink.s3,1,0.070934
benchmark/laut/e_str_rep/29337/sink.s3,0,0.038057
benchmark/laut/e_str_rep/6347/sink.s3,0,0.522118
benchmark/laut/e_str_rep/12116/sink.s3,0,0.468735
benchmark/laut/e_str_rep/9032/sink.s3,x,0.0
benchmark/laut/e_str_rep/8277/sink.s3,t,0.0
benchmark/laut/e_str_rep/7102/sink.s3,x,0.0
benchmark/laut/e_str_rep/29300/sink.s3,0,0.120929
benchmark/laut/e_str_rep/2176/sink.s3,1,0.884575
benchmark/laut/e_str_rep/2174/sink.s3,1,0.875392
benchmark/laut/e_str_rep/2184/sink.s3,1,0.121632
benchmark/laut/e_str_rep/12871/sink.s3,x,0.0
benchmark/laut/e_str_rep/3049/sink.s3,1,0.872353
benchmark/laut/e_str_rep/2179/sink.s3,1,0.123008
benchmark/laut/e_str_rep/2178/sink.s3,1,0.127349
benchmark/laut/e_str_rep/2166/sink.s3,t,0.0
benchmark/laut/e_str_rep/10934/sink.s3,1,0.171591
benchmark/laut/e_str_rep/10206/sink.s3,1,0.824667
benchmark/laut/e_str_rep/2182/sink.s3,1,0.119777
benchmark/laut/e_str_rep/29326/sink.s3,0,0.118003
benchmark/laut/e_str_rep/4415/sink.s3,1,0.993060
benchmark/laut/e_str_rep/16760/sink.s3,1,0.175775
benchmark/laut/e_str_rep/16749/sink.s3,1,0.065949
benchmark/laut/e_str_rep/4413/sink.s3,x,0.0
benchmark/laut/e_str_rep/29348/sink.s3,x,0.0
benchmark/laut/e_str_rep/8275/sink.s3,x,0.0
benchmark/laut/e_str_rep/2183/sink.s3,x,0.0
benchmark/laut/e_str_rep/14048/sink.s3,x,0.0
