benchmark=e_str_rep,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/e_str_rep/6345/sink.trau,t,0.0
benchmark/laut/e_str_rep/2992/sink.trau,1,0.723959
benchmark/laut/e_str_rep/15962/sink.trau,1,0.320953
benchmark/laut/e_str_rep/2181/sink.trau,1,0.173646
benchmark/laut/e_str_rep/14787/sink.trau,0,0.123329
benchmark/laut/e_str_rep/16769/sink.trau,1,0.220380
benchmark/laut/e_str_rep/598/sink.trau,1,0.219601
benchmark/laut/e_str_rep/15960/sink.trau,0,0.217373
benchmark/laut/e_str_rep/3072/sink.trau,0,0.118528
benchmark/laut/e_str_rep/16778/sink.trau,1,0.219385
benchmark/laut/e_str_rep/12114/sink.trau,1,0.624595
benchmark/laut/e_str_rep/10204/sink.trau,0,79.360370
benchmark/laut/e_str_rep/2180/sink.trau,t,0.0
benchmark/laut/e_str_rep/5169/sink.trau,0,40.542961
benchmark/laut/e_str_rep/14050/sink.trau,0,0.118113
benchmark/laut/e_str_rep/2164/sink.trau,t,0.0
benchmark/laut/e_str_rep/3237/sink.trau,1,0.221890
benchmark/laut/e_str_rep/29337/sink.trau,0,0.065791
benchmark/laut/e_str_rep/6347/sink.trau,0,0.118347
benchmark/laut/e_str_rep/12116/sink.trau,0,0.117181
benchmark/laut/e_str_rep/9032/sink.trau,1,0.217084
benchmark/laut/e_str_rep/8277/sink.trau,1,0.526745
benchmark/laut/e_str_rep/7102/sink.trau,1,0.220774
benchmark/laut/e_str_rep/29300/sink.trau,0,0.125109
benchmark/laut/e_str_rep/2176/sink.trau,1,0.217622
benchmark/laut/e_str_rep/2174/sink.trau,1,0.225125
benchmark/laut/e_str_rep/2184/sink.trau,1,0.170975
benchmark/laut/e_str_rep/12871/sink.trau,1,0.272477
benchmark/laut/e_str_rep/3049/sink.trau,1,0.169244
benchmark/laut/e_str_rep/2179/sink.trau,1,0.174554
benchmark/laut/e_str_rep/2178/sink.trau,1,0.168372
benchmark/laut/e_str_rep/2166/sink.trau,1,0.473861
benchmark/laut/e_str_rep/10934/sink.trau,1,0.220458
benchmark/laut/e_str_rep/10206/sink.trau,1,0.424570
benchmark/laut/e_str_rep/2182/sink.trau,1,0.167568
benchmark/laut/e_str_rep/29326/sink.trau,0,0.120226
benchmark/laut/e_str_rep/4415/sink.trau,1,0.422606
benchmark/laut/e_str_rep/16760/sink.trau,x,0.0
benchmark/laut/e_str_rep/16749/sink.trau,1,0.223523
benchmark/laut/e_str_rep/4413/sink.trau,0,69.978345
benchmark/laut/e_str_rep/29348/sink.trau,1,0.270146
benchmark/laut/e_str_rep/8275/sink.trau,0,222.214107
benchmark/laut/e_str_rep/2183/sink.trau,t,0.0
benchmark/laut/e_str_rep/14048/sink.trau,0,132.366465
