benchmark=e_str_rep,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/e_str_rep/6345/sink.trau,t,0.0
benchmark/laut/e_str_rep/2992/sink.trau,1,0.942936
benchmark/laut/e_str_rep/15962/sink.trau,1,0.471725
benchmark/laut/e_str_rep/2181/sink.trau,1,0.220646
benchmark/laut/e_str_rep/14787/sink.trau,0,0.120766
benchmark/laut/e_str_rep/16769/sink.trau,1,0.271190
benchmark/laut/e_str_rep/598/sink.trau,1,0.330194
benchmark/laut/e_str_rep/15960/sink.trau,0,0.274883
benchmark/laut/e_str_rep/3072/sink.trau,0,0.116644
benchmark/laut/e_str_rep/16778/sink.trau,1,0.269688
benchmark/laut/e_str_rep/12114/sink.trau,1,0.630588
benchmark/laut/e_str_rep/10204/sink.trau,0,129.611280
benchmark/laut/e_str_rep/2180/sink.trau,t,0.0
benchmark/laut/e_str_rep/5169/sink.trau,0,41.092294
benchmark/laut/e_str_rep/14050/sink.trau,0,0.169472
benchmark/laut/e_str_rep/2164/sink.trau,t,0.0
benchmark/laut/e_str_rep/3237/sink.trau,1,0.576168
benchmark/laut/e_str_rep/29337/sink.trau,0,0.482833
benchmark/laut/e_str_rep/6347/sink.trau,0,0.379405
benchmark/laut/e_str_rep/12116/sink.trau,0,0.221996
benchmark/laut/e_str_rep/9032/sink.trau,1,0.322899
benchmark/laut/e_str_rep/8277/sink.trau,1,0.526345
benchmark/laut/e_str_rep/7102/sink.trau,1,0.270690
benchmark/laut/e_str_rep/29300/sink.trau,0,0.120787
benchmark/laut/e_str_rep/2176/sink.trau,1,0.217179
benchmark/laut/e_str_rep/2174/sink.trau,1,0.169603
benchmark/laut/e_str_rep/2184/sink.trau,1,0.171322
benchmark/laut/e_str_rep/12871/sink.trau,1,0.272255
benchmark/laut/e_str_rep/3049/sink.trau,1,0.324261
benchmark/laut/e_str_rep/2179/sink.trau,1,0.166692
benchmark/laut/e_str_rep/2178/sink.trau,1,0.219639
benchmark/laut/e_str_rep/2166/sink.trau,1,0.471005
benchmark/laut/e_str_rep/10934/sink.trau,1,0.220100
benchmark/laut/e_str_rep/10206/sink.trau,1,0.523935
benchmark/laut/e_str_rep/2182/sink.trau,1,0.170303
benchmark/laut/e_str_rep/29326/sink.trau,0,0.649034
benchmark/laut/e_str_rep/4415/sink.trau,1,0.320344
benchmark/laut/e_str_rep/16760/sink.trau,x,0.0
benchmark/laut/e_str_rep/16749/sink.trau,1,0.217535
benchmark/laut/e_str_rep/4413/sink.trau,0,225.262179
benchmark/laut/e_str_rep/29348/sink.trau,1,0.421309
benchmark/laut/e_str_rep/8275/sink.trau,0,361.157329
benchmark/laut/e_str_rep/2183/sink.trau,t,0.0
benchmark/laut/e_str_rep/14048/sink.trau,0,588.451433
