benchmark=g_lan_rep,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/g_lan_rep_t/92/sink.vmt,0,0.167765,7
benchmark/laut/g_lan_rep_t/118/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/886/sink.vmt,1,10.494822,32
benchmark/laut/g_lan_rep_t/108/sink.vmt,0,0.275937,7
benchmark/laut/g_lan_rep_t/64/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/80/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/11165/sink.vmt,1,7.334190,32
benchmark/laut/g_lan_rep_t/102/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/15002/sink.vmt,0,126.393260,153
benchmark/laut/g_lan_rep_t/3468/sink.vmt,1,1.785219,29
benchmark/laut/g_lan_rep_t/16239/sink.vmt,0,0.673820,15
benchmark/laut/g_lan_rep_t/112/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/13094/sink.vmt,0,32.491436,69
benchmark/laut/g_lan_rep_t/60/sink.vmt,0,0.279467,7
benchmark/laut/g_lan_rep_t/86/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/13102/sink.vmt,0,11.514778,55
benchmark/laut/g_lan_rep_t/5400/sink.vmt,0,5.790192,23
benchmark/laut/g_lan_rep_t/94/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/119/sink.vmt,0,288.104438,162
benchmark/laut/g_lan_rep_t/870/sink.vmt,0,1.989418,24
benchmark/laut/g_lan_rep_t/110/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/95/sink.vmt,1,239.250475,44
benchmark/laut/g_lan_rep_t/104/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/10483/sink.vmt,0,1.476622,16
benchmark/laut/g_lan_rep_t/3460/sink.vmt,0,4.513586,27
benchmark/laut/g_lan_rep_t/68/sink.vmt,0,0.274585,6
benchmark/laut/g_lan_rep_t/72/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/8554/sink.vmt,0,1.027246,16
benchmark/laut/g_lan_rep_t/13086/sink.vmt,1,28.480778,63
benchmark/laut/g_lan_rep_t/63/sink.vmt,0,1.734685,14
benchmark/laut/g_lan_rep_t/15010/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/70/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/9247/sink.vmt,0,4.471035,26
benchmark/laut/g_lan_rep_t/11157/sink.vmt,1,2.145284,30
benchmark/laut/g_lan_rep_t/14327/sink.vmt,0,186.258266,115
benchmark/laut/g_lan_rep_t/11149/sink.vmt,0,1.930439,26
benchmark/laut/g_lan_rep_t/5384/sink.vmt,1,21.005824,46
benchmark/laut/g_lan_rep_t/76/sink.vmt,0,0.799976,8
benchmark/laut/g_lan_rep_t/71/sink.vmt,0,18.192189,28
benchmark/laut/g_lan_rep_t/9263/sink.vmt,1,1.082780,25
benchmark/laut/g_lan_rep_t/120/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/116/sink.vmt,0,0.571452,7
benchmark/laut/g_lan_rep_t/5392/sink.vmt,1,64.535379,47
benchmark/laut/g_lan_rep_t/15018/sink.vmt,1,175.632930,163
benchmark/laut/g_lan_rep_t/6624/sink.vmt,0,4.095852,15
benchmark/laut/g_lan_rep_t/2548/sink.vmt,0,1.224183,17
benchmark/laut/g_lan_rep_t/7333/sink.vmt,1,99.184221,45
benchmark/laut/g_lan_rep_t/62/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/7325/sink.vmt,1,85.991474,45
benchmark/laut/g_lan_rep_t/16674/sink.vmt,1,0.217554,10
benchmark/laut/g_lan_rep_t/100/sink.vmt,0,0.219105,6
benchmark/laut/g_lan_rep_t/96/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/3452/sink.vmt,1,10.803394,36
benchmark/laut/g_lan_rep_t/4692/sink.vmt,0,2.641294,16
benchmark/laut/g_lan_rep_t/111/sink.vmt,1,90.828490,62
benchmark/laut/g_lan_rep_t/7317/sink.vmt,0,3.082144,21
benchmark/laut/g_lan_rep_t/878/sink.vmt,1,172.204357,45
benchmark/laut/g_lan_rep_t/87/sink.vmt,1,59.667483,42
benchmark/laut/g_lan_rep_t/88/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/12393/sink.vmt,0,1.722158,14
benchmark/laut/g_lan_rep_t/9255/sink.vmt,1,40.613757,45
benchmark/laut/g_lan_rep_t/78/sink.vmt,t,0.0,0
benchmark/laut/g_lan_rep_t/79/sink.vmt,1,49.303359,34
benchmark/laut/g_lan_rep_t/84/sink.vmt,0,0.217718,9
benchmark/laut/g_lan_rep_t/103/sink.vmt,1,24.571184,34
