benchmark=kaluza,solver=ABC,TO=20.000000
path,sat,time
benchmark/laut/kaluza/404/sink.s3,1,0.323034
benchmark/laut/kaluza/1789/sink.s3,0,0.067229
benchmark/laut/kaluza/1144/sink.s3,0,0.116828
benchmark/laut/kaluza/1636/sink.s3,0,0.168592
benchmark/laut/kaluza/405/sink.s3,1,0.267604
benchmark/laut/kaluza/1800/sink.s3,1,0.269444
benchmark/laut/kaluza/1211/sink.s3,1,0.033608
benchmark/laut/kaluza/987/sink.s3,0,0.039114
benchmark/laut/kaluza/968/sink.s3,0,0.066807
benchmark/laut/kaluza/1484/sink.s3,0,0.066865
benchmark/laut/kaluza/1514/sink.s3,1,0.169228
benchmark/laut/kaluza/1799/sink.s3,1,0.071300
benchmark/laut/kaluza/1065/sink.s3,0,0.070309
benchmark/laut/kaluza/1382/sink.s3,1,0.167797
benchmark/laut/kaluza/1836/sink.s3,0,0.066294
benchmark/laut/kaluza/1508/sink.s3,1,0.267917
benchmark/laut/kaluza/1725/sink.s3,0,0.072795
benchmark/laut/kaluza/763/sink.s3,1,0.321387
benchmark/laut/kaluza/1745/sink.s3,1,0.035489
benchmark/laut/kaluza/1289/sink.s3,1,0.268252
benchmark/laut/kaluza/811/sink.s3,0,0.217099
benchmark/laut/kaluza/198/sink.s3,0,0.067664
benchmark/laut/kaluza/765/sink.s3,0,0.034734
benchmark/laut/kaluza/127/sink.s3,1,0.120474
benchmark/laut/kaluza/647/sink.s3,1,0.319885
benchmark/laut/kaluza/1241/sink.s3,1,0.120094
benchmark/laut/kaluza/1969/sink.s3,0,0.034775
benchmark/laut/kaluza/1460/sink.s3,0,0.222771
benchmark/laut/kaluza/92/sink.s3,1,0.119191
benchmark/laut/kaluza/1180/sink.s3,0,0.166815
benchmark/laut/kaluza/1919/sink.s3,1,0.319620
benchmark/laut/kaluza/135/sink.s3,0,0.069145
benchmark/laut/kaluza/1894/sink.s3,0,0.116759
benchmark/laut/kaluza/1613/sink.s3,1,0.032529
benchmark/laut/kaluza/1590/sink.s3,0,0.116127
benchmark/laut/kaluza/499/sink.s3,1,0.271872
benchmark/laut/kaluza/512/sink.s3,0,0.041600
benchmark/laut/kaluza/482/sink.s3,1,0.270108
benchmark/laut/kaluza/585/sink.s3,0,0.034156
benchmark/laut/kaluza/118/sink.s3,0,0.033387
benchmark/laut/kaluza/1958/sink.s3,0,0.168123
benchmark/laut/kaluza/1446/sink.s3,1,0.065769
benchmark/laut/kaluza/886/sink.s3,0,0.034422
benchmark/laut/kaluza/160/sink.s3,1,0.117979
benchmark/laut/kaluza/1883/sink.s3,0,0.218098
benchmark/laut/kaluza/1534/sink.s3,0,0.034747
benchmark/laut/kaluza/814/sink.s3,0,0.067882
benchmark/laut/kaluza/911/sink.s3,0,0.069139
benchmark/laut/kaluza/1205/sink.s3,0,0.033199
benchmark/laut/kaluza/388/sink.s3,1,0.077000
benchmark/laut/kaluza/564/sink.s3,1,0.117652
benchmark/laut/kaluza/1347/sink.s3,0,0.221942
benchmark/laut/kaluza/1389/sink.s3,1,0.319273
benchmark/laut/kaluza/1162/sink.s3,1,0.271721
benchmark/laut/kaluza/487/sink.s3,1,0.066472
benchmark/laut/kaluza/923/sink.s3,0,0.118441
benchmark/laut/kaluza/702/sink.s3,0,0.226699
benchmark/laut/kaluza/1351/sink.s3,0,0.065644
benchmark/laut/kaluza/1002/sink.s3,1,0.117069
benchmark/laut/kaluza/1564/sink.s3,0,0.066197
benchmark/laut/kaluza/108/sink.s3,0,0.032566
benchmark/laut/kaluza/381/sink.s3,1,0.272550
benchmark/laut/kaluza/1824/sink.s3,1,0.318602
benchmark/laut/kaluza/768/sink.s3,0,0.069772
benchmark/laut/kaluza/295/sink.s3,1,0.120010
benchmark/laut/kaluza/420/sink.s3,0,0.032999
benchmark/laut/kaluza/823/sink.s3,1,0.171776
benchmark/laut/kaluza/1752/sink.s3,1,0.123611
benchmark/laut/kaluza/945/sink.s3,1,0.173084
benchmark/laut/kaluza/64/sink.s3,1,0.171075
benchmark/laut/kaluza/544/sink.s3,1,0.118480
benchmark/laut/kaluza/80/sink.s3,1,0.168832
benchmark/laut/kaluza/966/sink.s3,1,0.017414
benchmark/laut/kaluza/1814/sink.s3,0,0.225352
benchmark/laut/kaluza/561/sink.s3,0,0.016952
benchmark/laut/kaluza/1602/sink.s3,0,0.175847
benchmark/laut/kaluza/1333/sink.s3,0,0.066964
benchmark/laut/kaluza/442/sink.s3,1,0.034593
benchmark/laut/kaluza/186/sink.s3,1,0.115625
benchmark/laut/kaluza/1848/sink.s3,0,0.017478
benchmark/laut/kaluza/284/sink.s3,1,0.116248
benchmark/laut/kaluza/53/sink.s3,1,0.118965
benchmark/laut/kaluza/1868/sink.s3,1,0.269646
benchmark/laut/kaluza/876/sink.s3,1,0.068031
benchmark/laut/kaluza/411/sink.s3,0,0.171944
benchmark/laut/kaluza/691/sink.s3,1,0.267372
benchmark/laut/kaluza/1724/sink.s3,1,0.117088
