benchmark=kaluza,solver=abc,TO=20.000000
path,sat,time,step
benchmark/laut/kaluza/404/sink.abc,1,0.731459,23
benchmark/laut/kaluza/1789/sink.abc,0,0.167193,1
benchmark/laut/kaluza/1144/sink.abc,0,0.116502,2
benchmark/laut/kaluza/1636/sink.abc,0,0.124401,1
benchmark/laut/kaluza/405/sink.abc,1,0.169052,20
benchmark/laut/kaluza/1800/sink.abc,1,0.169600,21
benchmark/laut/kaluza/1211/sink.abc,1,0.119401,2
benchmark/laut/kaluza/987/sink.abc,0,0.120639,1
benchmark/laut/kaluza/968/sink.abc,0,0.118885,1
benchmark/laut/kaluza/1484/sink.abc,0,0.169742,1
benchmark/laut/kaluza/1514/sink.abc,1,0.171848,23
benchmark/laut/kaluza/1799/sink.abc,1,0.117760,5
benchmark/laut/kaluza/1065/sink.abc,0,0.177527,1
benchmark/laut/kaluza/1382/sink.abc,1,0.373310,6
benchmark/laut/kaluza/1836/sink.abc,0,0.118738,1
benchmark/laut/kaluza/1508/sink.abc,1,0.172903,20
benchmark/laut/kaluza/1725/sink.abc,0,0.116898,1
benchmark/laut/kaluza/763/sink.abc,1,0.172759,21
benchmark/laut/kaluza/1745/sink.abc,1,0.119299,2
benchmark/laut/kaluza/1289/sink.abc,1,0.169071,20
benchmark/laut/kaluza/811/sink.abc,0,0.118952,1
benchmark/laut/kaluza/198/sink.abc,0,0.122888,1
benchmark/laut/kaluza/765/sink.abc,0,0.116213,1
benchmark/laut/kaluza/127/sink.abc,1,0.121326,1
benchmark/laut/kaluza/647/sink.abc,1,0.225070,22
benchmark/laut/kaluza/1241/sink.abc,1,0.121287,2
benchmark/laut/kaluza/1969/sink.abc,0,0.116986,1
benchmark/laut/kaluza/1460/sink.abc,0,0.174811,1
benchmark/laut/kaluza/92/sink.abc,1,0.120387,5
benchmark/laut/kaluza/1180/sink.abc,0,0.120093,1
benchmark/laut/kaluza/1919/sink.abc,1,0.525897,22
benchmark/laut/kaluza/135/sink.abc,0,0.116988,1
benchmark/laut/kaluza/1894/sink.abc,0,0.125154,1
benchmark/laut/kaluza/1613/sink.abc,1,0.167541,2
benchmark/laut/kaluza/1590/sink.abc,0,0.170921,1
benchmark/laut/kaluza/499/sink.abc,1,0.174385,20
benchmark/laut/kaluza/512/sink.abc,0,0.121698,1
benchmark/laut/kaluza/482/sink.abc,1,0.220907,22
benchmark/laut/kaluza/585/sink.abc,0,0.145210,1
benchmark/laut/kaluza/118/sink.abc,0,0.119005,1
benchmark/laut/kaluza/1958/sink.abc,0,0.121640,1
benchmark/laut/kaluza/1446/sink.abc,1,0.118994,2
benchmark/laut/kaluza/886/sink.abc,0,0.124377,1
benchmark/laut/kaluza/160/sink.abc,1,0.118971,5
benchmark/laut/kaluza/1883/sink.abc,0,0.122913,1
benchmark/laut/kaluza/1534/sink.abc,0,0.117967,1
benchmark/laut/kaluza/814/sink.abc,0,0.117280,1
benchmark/laut/kaluza/911/sink.abc,0,0.117600,1
benchmark/laut/kaluza/1205/sink.abc,0,0.116416,1
benchmark/laut/kaluza/388/sink.abc,1,0.119055,2
benchmark/laut/kaluza/564/sink.abc,1,0.119136,1
benchmark/laut/kaluza/1347/sink.abc,0,0.118393,1
benchmark/laut/kaluza/1389/sink.abc,1,0.170496,21
benchmark/laut/kaluza/1162/sink.abc,1,0.173152,21
benchmark/laut/kaluza/487/sink.abc,1,0.118151,1
benchmark/laut/kaluza/923/sink.abc,0,0.121607,1
benchmark/laut/kaluza/702/sink.abc,0,0.122431,1
benchmark/laut/kaluza/1351/sink.abc,0,0.117473,1
benchmark/laut/kaluza/1002/sink.abc,1,0.119520,12
benchmark/laut/kaluza/1564/sink.abc,0,0.118128,1
