benchmark=kaluza,solver=cvc4,TO=20.000000
path,sat,time
benchmark/laut/kaluza/404/sink.smt2,1,4.935194
benchmark/laut/kaluza/1789/sink.smt2,0,0.273373
benchmark/laut/kaluza/1144/sink.smt2,0,0.172427
benchmark/laut/kaluza/1636/sink.smt2,0,0.990720
benchmark/laut/kaluza/405/sink.smt2,1,0.156222
benchmark/laut/kaluza/1800/sink.smt2,1,1.281817
benchmark/laut/kaluza/1211/sink.smt2,1,0.119143
benchmark/laut/kaluza/987/sink.smt2,0,1.138367
benchmark/laut/kaluza/968/sink.smt2,0,0.075889
benchmark/laut/kaluza/1484/sink.smt2,0,1.233516
benchmark/laut/kaluza/1514/sink.smt2,1,0.035375
benchmark/laut/kaluza/1799/sink.smt2,1,0.116548
benchmark/laut/kaluza/1065/sink.smt2,0,1.086334
benchmark/laut/kaluza/1382/sink.smt2,1,0.526645
benchmark/laut/kaluza/1836/sink.smt2,0,0.034078
benchmark/laut/kaluza/1508/sink.smt2,1,0.034937
benchmark/laut/kaluza/1725/sink.smt2,0,0.116103
benchmark/laut/kaluza/763/sink.smt2,1,0.219196
benchmark/laut/kaluza/1745/sink.smt2,1,0.066628
benchmark/laut/kaluza/1289/sink.smt2,1,0.069550
benchmark/laut/kaluza/811/sink.smt2,0,0.066481
benchmark/laut/kaluza/198/sink.smt2,0,0.066020
benchmark/laut/kaluza/765/sink.smt2,0,0.033510
benchmark/laut/kaluza/127/sink.smt2,1,0.068606
benchmark/laut/kaluza/647/sink.smt2,1,0.324808
benchmark/laut/kaluza/1241/sink.smt2,1,0.033487
benchmark/laut/kaluza/1969/sink.smt2,0,0.069661
benchmark/laut/kaluza/1460/sink.smt2,0,0.069815
benchmark/laut/kaluza/92/sink.smt2,1,0.066896
benchmark/laut/kaluza/1180/sink.smt2,0,0.117543
benchmark/laut/kaluza/1919/sink.smt2,1,0.067890
benchmark/laut/kaluza/135/sink.smt2,0,1.230018
benchmark/laut/kaluza/1894/sink.smt2,0,0.068446
benchmark/laut/kaluza/1613/sink.smt2,1,0.068158
benchmark/laut/kaluza/1590/sink.smt2,0,0.044775
benchmark/laut/kaluza/499/sink.smt2,1,0.118911
benchmark/laut/kaluza/512/sink.smt2,0,1.234582
benchmark/laut/kaluza/482/sink.smt2,1,0.017671
benchmark/laut/kaluza/585/sink.smt2,0,1.183995
benchmark/laut/kaluza/118/sink.smt2,0,0.066211
benchmark/laut/kaluza/1958/sink.smt2,0,0.068330
benchmark/laut/kaluza/1446/sink.smt2,1,0.036488
benchmark/laut/kaluza/886/sink.smt2,0,1.088816
benchmark/laut/kaluza/160/sink.smt2,1,0.068654
benchmark/laut/kaluza/1883/sink.smt2,0,0.066513
benchmark/laut/kaluza/1534/sink.smt2,0,0.070015
benchmark/laut/kaluza/814/sink.smt2,0,0.068372
benchmark/laut/kaluza/911/sink.smt2,0,0.116531
benchmark/laut/kaluza/1205/sink.smt2,0,0.035745
benchmark/laut/kaluza/388/sink.smt2,1,0.118938
benchmark/laut/kaluza/564/sink.smt2,1,0.067039
benchmark/laut/kaluza/1347/sink.smt2,0,0.034783
benchmark/laut/kaluza/1389/sink.smt2,1,0.066858
benchmark/laut/kaluza/1162/sink.smt2,1,0.035563
benchmark/laut/kaluza/487/sink.smt2,1,0.066851
benchmark/laut/kaluza/923/sink.smt2,0,0.070062
benchmark/laut/kaluza/702/sink.smt2,0,0.068215
benchmark/laut/kaluza/1351/sink.smt2,0,0.069604
benchmark/laut/kaluza/1002/sink.smt2,1,0.069087
benchmark/laut/kaluza/1564/sink.smt2,0,0.074587
benchmark/laut/kaluza/108/sink.smt2,0,0.068855
benchmark/laut/kaluza/381/sink.smt2,1,0.068603
benchmark/laut/kaluza/1824/sink.smt2,1,0.117556
benchmark/laut/kaluza/768/sink.smt2,0,0.069338
benchmark/laut/kaluza/295/sink.smt2,1,0.726725
benchmark/laut/kaluza/420/sink.smt2,0,0.034394
benchmark/laut/kaluza/823/sink.smt2,1,0.036290
benchmark/laut/kaluza/1752/sink.smt2,1,0.065428
