benchmark=kaluza,solver=ic3ia,TO=20.000000
path,sat,time,step
benchmark/laut/kaluza/404/sink.vmt,1,0.724547,11
benchmark/laut/kaluza/1789/sink.vmt,0,0.069034,1
benchmark/laut/kaluza/1144/sink.vmt,0,0.121138,1
benchmark/laut/kaluza/1636/sink.vmt,0,0.166759,9
benchmark/laut/kaluza/405/sink.vmt,1,0.217883,19
benchmark/laut/kaluza/1800/sink.vmt,1,0.269553,21
benchmark/laut/kaluza/1211/sink.vmt,1,0.067451,1
benchmark/laut/kaluza/987/sink.vmt,0,0.032988,1
benchmark/laut/kaluza/968/sink.vmt,0,0.034567,1
benchmark/laut/kaluza/1484/sink.vmt,0,0.066890,1
benchmark/laut/kaluza/1514/sink.vmt,1,0.324773,11
benchmark/laut/kaluza/1799/sink.vmt,1,0.069420,4
benchmark/laut/kaluza/1065/sink.vmt,0,0.034118,1
benchmark/laut/kaluza/1382/sink.vmt,1,0.521038,6
benchmark/laut/kaluza/1836/sink.vmt,0,0.041520,1
benchmark/laut/kaluza/1508/sink.vmt,1,0.218004,19
benchmark/laut/kaluza/1725/sink.vmt,0,0.033471,1
benchmark/laut/kaluza/763/sink.vmt,1,0.270765,21
benchmark/laut/kaluza/1745/sink.vmt,1,0.034725,1
benchmark/laut/kaluza/1289/sink.vmt,1,0.219789,19
benchmark/laut/kaluza/811/sink.vmt,0,0.328701,19
benchmark/laut/kaluza/198/sink.vmt,0,0.016255,1
benchmark/laut/kaluza/765/sink.vmt,0,0.069305,1
benchmark/laut/kaluza/127/sink.vmt,1,0.033277,0
benchmark/laut/kaluza/647/sink.vmt,1,0.323219,20
benchmark/laut/kaluza/1241/sink.vmt,1,0.036877,1
benchmark/laut/kaluza/1969/sink.vmt,0,0.021842,1
benchmark/laut/kaluza/1460/sink.vmt,0,0.421678,19
benchmark/laut/kaluza/92/sink.vmt,1,0.067191,4
benchmark/laut/kaluza/1180/sink.vmt,0,0.316404,16
benchmark/laut/kaluza/1919/sink.vmt,1,0.317467,20
benchmark/laut/kaluza/135/sink.vmt,0,0.033648,1
benchmark/laut/kaluza/1894/sink.vmt,0,0.119865,4
benchmark/laut/kaluza/1613/sink.vmt,1,0.034219,1
benchmark/laut/kaluza/1590/sink.vmt,0,0.169288,9
benchmark/laut/kaluza/499/sink.vmt,1,0.269409,19
benchmark/laut/kaluza/512/sink.vmt,0,0.017910,1
benchmark/laut/kaluza/482/sink.vmt,1,0.319291,20
benchmark/laut/kaluza/585/sink.vmt,0,0.018125,1
benchmark/laut/kaluza/118/sink.vmt,0,0.023134,1
benchmark/laut/kaluza/1958/sink.vmt,0,0.118073,4
benchmark/laut/kaluza/1446/sink.vmt,1,0.066870,1
benchmark/laut/kaluza/886/sink.vmt,0,0.033558,1
benchmark/laut/kaluza/160/sink.vmt,1,0.067830,4
benchmark/laut/kaluza/1883/sink.vmt,0,0.318403,16
benchmark/laut/kaluza/1534/sink.vmt,0,0.066324,1
benchmark/laut/kaluza/814/sink.vmt,0,0.037538,1
benchmark/laut/kaluza/911/sink.vmt,0,0.033177,1
benchmark/laut/kaluza/1205/sink.vmt,0,0.022529,1
benchmark/laut/kaluza/388/sink.vmt,1,0.035453,1
benchmark/laut/kaluza/564/sink.vmt,1,0.034575,0
benchmark/laut/kaluza/1347/sink.vmt,0,0.371632,19
benchmark/laut/kaluza/1389/sink.vmt,1,0.275690,20
benchmark/laut/kaluza/1162/sink.vmt,1,0.271419,19
benchmark/laut/kaluza/487/sink.vmt,1,0.072149,0
benchmark/laut/kaluza/923/sink.vmt,0,0.118917,4
