benchmark=kaluza,solver=norn,TO=20.000000
path,sat,time
benchmark/laut/kaluza/404/sink.smt2,1,4.430980
benchmark/laut/kaluza/1789/sink.smt2,0,0.824224
benchmark/laut/kaluza/1144/sink.smt2,0,1.028352
benchmark/laut/kaluza/1636/sink.smt2,0,0.924793
benchmark/laut/kaluza/405/sink.smt2,1,1.072877
benchmark/laut/kaluza/1800/sink.smt2,1,1.228319
benchmark/laut/kaluza/1211/sink.smt2,1,1.023806
benchmark/laut/kaluza/987/sink.smt2,0,0.876961
benchmark/laut/kaluza/968/sink.smt2,0,0.872625
benchmark/laut/kaluza/1484/sink.smt2,0,0.778278
benchmark/laut/kaluza/1514/sink.smt2,1,1.021718
benchmark/laut/kaluza/1799/sink.smt2,1,1.023440
benchmark/laut/kaluza/1065/sink.smt2,0,0.825088
benchmark/laut/kaluza/1382/sink.smt2,1,1.174384
benchmark/laut/kaluza/1836/sink.smt2,0,0.823479
benchmark/laut/kaluza/1508/sink.smt2,1,1.123978
benchmark/laut/kaluza/1725/sink.smt2,0,0.824146
benchmark/laut/kaluza/763/sink.smt2,1,1.123856
benchmark/laut/kaluza/1745/sink.smt2,1,1.077128
benchmark/laut/kaluza/1289/sink.smt2,1,1.177803
benchmark/laut/kaluza/811/sink.smt2,0,1.022486
benchmark/laut/kaluza/198/sink.smt2,0,0.823915
benchmark/laut/kaluza/765/sink.smt2,0,0.826818
benchmark/laut/kaluza/127/sink.smt2,1,1.023254
benchmark/laut/kaluza/647/sink.smt2,1,1.182588
benchmark/laut/kaluza/1241/sink.smt2,1,1.030026
benchmark/laut/kaluza/1969/sink.smt2,0,0.824930
benchmark/laut/kaluza/1460/sink.smt2,0,0.942461
benchmark/laut/kaluza/92/sink.smt2,1,1.025750
benchmark/laut/kaluza/1180/sink.smt2,0,1.087841
benchmark/laut/kaluza/1919/sink.smt2,1,1.182142
benchmark/laut/kaluza/135/sink.smt2,0,0.874330
benchmark/laut/kaluza/1894/sink.smt2,0,0.928105
benchmark/laut/kaluza/1613/sink.smt2,1,1.023274
benchmark/laut/kaluza/1590/sink.smt2,0,0.921948
