benchmark=kaluza,solver=s3p,TO=20.000000
path,sat,time
benchmark/laut/kaluza/404/sink.s3,1,0.826967
benchmark/laut/kaluza/1789/sink.s3,0,0.034671
benchmark/laut/kaluza/1144/sink.s3,0,0.067884
benchmark/laut/kaluza/1636/sink.s3,0,0.067027
benchmark/laut/kaluza/405/sink.s3,1,0.035755
benchmark/laut/kaluza/1800/sink.s3,1,0.066092
benchmark/laut/kaluza/1211/sink.s3,1,0.037394
benchmark/laut/kaluza/987/sink.s3,0,0.035134
benchmark/laut/kaluza/968/sink.s3,0,0.069080
benchmark/laut/kaluza/1484/sink.s3,0,0.036949
benchmark/laut/kaluza/1514/sink.s3,1,0.036387
benchmark/laut/kaluza/1799/sink.s3,1,0.034921
benchmark/laut/kaluza/1065/sink.s3,0,0.035915
benchmark/laut/kaluza/1382/sink.s3,1,0.117923
benchmark/laut/kaluza/1836/sink.s3,0,0.033822
benchmark/laut/kaluza/1508/sink.s3,1,0.067650
benchmark/laut/kaluza/1725/sink.s3,0,0.039616
benchmark/laut/kaluza/763/sink.s3,1,0.066969
benchmark/laut/kaluza/1745/sink.s3,1,0.065429
benchmark/laut/kaluza/1289/sink.s3,1,0.079183
benchmark/laut/kaluza/811/sink.s3,0,0.069821
benchmark/laut/kaluza/198/sink.s3,0,0.065813
benchmark/laut/kaluza/765/sink.s3,0,0.035648
benchmark/laut/kaluza/127/sink.s3,1,0.070995
benchmark/laut/kaluza/647/sink.s3,1,0.067931
benchmark/laut/kaluza/1241/sink.s3,1,0.069955
benchmark/laut/kaluza/1969/sink.s3,0,0.036600
benchmark/laut/kaluza/1460/sink.s3,0,0.034888
benchmark/laut/kaluza/92/sink.s3,1,0.065691
benchmark/laut/kaluza/1180/sink.s3,0,0.039273
benchmark/laut/kaluza/1919/sink.s3,1,0.066617
benchmark/laut/kaluza/135/sink.s3,0,0.035852
benchmark/laut/kaluza/1894/sink.s3,0,0.035692
benchmark/laut/kaluza/1613/sink.s3,1,0.035982
benchmark/laut/kaluza/1590/sink.s3,0,0.039297
benchmark/laut/kaluza/499/sink.s3,1,0.040174
benchmark/laut/kaluza/512/sink.s3,0,0.036037
benchmark/laut/kaluza/482/sink.s3,1,0.042134
benchmark/laut/kaluza/585/sink.s3,0,0.033968
benchmark/laut/kaluza/118/sink.s3,0,0.046863
benchmark/laut/kaluza/1958/sink.s3,0,0.035513
benchmark/laut/kaluza/1446/sink.s3,1,0.037858
benchmark/laut/kaluza/886/sink.s3,0,0.034553
benchmark/laut/kaluza/160/sink.s3,1,0.033433
benchmark/laut/kaluza/1883/sink.s3,0,0.036687
benchmark/laut/kaluza/1534/sink.s3,0,0.035793
benchmark/laut/kaluza/814/sink.s3,0,0.034292
benchmark/laut/kaluza/911/sink.s3,0,0.034772
benchmark/laut/kaluza/1205/sink.s3,0,0.037432
benchmark/laut/kaluza/388/sink.s3,1,0.035074
benchmark/laut/kaluza/564/sink.s3,1,0.038150
benchmark/laut/kaluza/1347/sink.s3,0,0.033282
benchmark/laut/kaluza/1389/sink.s3,1,0.034980
benchmark/laut/kaluza/1162/sink.s3,1,0.034393
benchmark/laut/kaluza/487/sink.s3,1,0.065188
benchmark/laut/kaluza/923/sink.s3,0,0.035094
benchmark/laut/kaluza/702/sink.s3,0,0.037688
benchmark/laut/kaluza/1351/sink.s3,0,0.065753
benchmark/laut/kaluza/1002/sink.s3,1,0.118128
benchmark/laut/kaluza/1564/sink.s3,0,0.034051
benchmark/laut/kaluza/108/sink.s3,0,0.034064
benchmark/laut/kaluza/381/sink.s3,1,0.038595
benchmark/laut/kaluza/1824/sink.s3,1,0.070656
benchmark/laut/kaluza/768/sink.s3,0,0.035065
benchmark/laut/kaluza/295/sink.s3,1,0.066650
benchmark/laut/kaluza/420/sink.s3,0,0.035853
benchmark/laut/kaluza/823/sink.s3,1,0.068059
benchmark/laut/kaluza/1752/sink.s3,1,0.067331
benchmark/laut/kaluza/945/sink.s3,1,0.067025
benchmark/laut/kaluza/64/sink.s3,1,0.068457
benchmark/laut/kaluza/544/sink.s3,1,0.034542
benchmark/laut/kaluza/80/sink.s3,1,0.067100
benchmark/laut/kaluza/966/sink.s3,1,0.036500
benchmark/laut/kaluza/1814/sink.s3,0,0.070480
benchmark/laut/kaluza/561/sink.s3,0,0.036569
benchmark/laut/kaluza/1602/sink.s3,0,0.033585
benchmark/laut/kaluza/1333/sink.s3,0,0.033790
benchmark/laut/kaluza/442/sink.s3,1,0.035906
benchmark/laut/kaluza/186/sink.s3,1,0.033672
benchmark/laut/kaluza/1848/sink.s3,0,0.032635
benchmark/laut/kaluza/284/sink.s3,1,0.035392
benchmark/laut/kaluza/53/sink.s3,1,0.034746
benchmark/laut/kaluza/1868/sink.s3,1,0.035381
benchmark/laut/kaluza/876/sink.s3,1,0.072954
benchmark/laut/kaluza/411/sink.s3,0,0.022131
benchmark/laut/kaluza/691/sink.s3,1,0.035773
benchmark/laut/kaluza/1724/sink.s3,1,0.036997
