benchmark=kaluza,solver=trau,TO=20.000000
path,sat,time
benchmark/laut/kaluza/404/sink.s3,1,1.229257
benchmark/laut/kaluza/1789/sink.s3,0,0.018459
benchmark/laut/kaluza/1144/sink.s3,0,0.066280
benchmark/laut/kaluza/1636/sink.s3,0,0.033969
benchmark/laut/kaluza/405/sink.s3,1,0.069362
benchmark/laut/kaluza/1800/sink.s3,1,0.066792
benchmark/laut/kaluza/1211/sink.s3,1,0.119535
benchmark/laut/kaluza/987/sink.s3,0,0.033630
benchmark/laut/kaluza/968/sink.s3,0,0.018254
benchmark/laut/kaluza/1484/sink.s3,0,0.018143
benchmark/laut/kaluza/1514/sink.s3,1,0.067897
benchmark/laut/kaluza/1799/sink.s3,1,0.075678
benchmark/laut/kaluza/1065/sink.s3,0,0.033908
benchmark/laut/kaluza/1382/sink.s3,1,0.066986
benchmark/laut/kaluza/1836/sink.s3,0,0.033873
benchmark/laut/kaluza/1508/sink.s3,1,0.073611
benchmark/laut/kaluza/1725/sink.s3,0,0.035576
benchmark/laut/kaluza/763/sink.s3,1,0.070044
benchmark/laut/kaluza/1745/sink.s3,1,0.069591
benchmark/laut/kaluza/1289/sink.s3,1,0.069540
benchmark/laut/kaluza/811/sink.s3,0,0.033883
benchmark/laut/kaluza/198/sink.s3,0,0.017054
benchmark/laut/kaluza/765/sink.s3,0,0.036182
benchmark/laut/kaluza/127/sink.s3,1,0.066479
benchmark/laut/kaluza/647/sink.s3,1,0.067217
benchmark/laut/kaluza/1241/sink.s3,1,0.066198
benchmark/laut/kaluza/1969/sink.s3,0,0.071402
benchmark/laut/kaluza/1460/sink.s3,0,0.033293
benchmark/laut/kaluza/92/sink.s3,1,0.068137
benchmark/laut/kaluza/1180/sink.s3,0,0.035560
benchmark/laut/kaluza/1919/sink.s3,1,0.067084
benchmark/laut/kaluza/135/sink.s3,0,0.035082
benchmark/laut/kaluza/1894/sink.s3,0,0.032743
benchmark/laut/kaluza/1613/sink.s3,1,0.065103
benchmark/laut/kaluza/1590/sink.s3,0,0.033684
benchmark/laut/kaluza/499/sink.s3,1,0.067920
benchmark/laut/kaluza/512/sink.s3,0,0.033567
benchmark/laut/kaluza/482/sink.s3,1,0.066526
benchmark/laut/kaluza/585/sink.s3,0,0.035739
benchmark/laut/kaluza/118/sink.s3,0,0.018242
benchmark/laut/kaluza/1958/sink.s3,0,0.033308
benchmark/laut/kaluza/1446/sink.s3,1,0.069056
benchmark/laut/kaluza/886/sink.s3,0,0.019711
benchmark/laut/kaluza/160/sink.s3,1,0.066619
benchmark/laut/kaluza/1883/sink.s3,0,0.035822
benchmark/laut/kaluza/1534/sink.s3,0,0.070699
