benchmark=kaluza,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/kaluza/404/sink.smt2,1,0.831846
benchmark/laut/kaluza/1789/sink.smt2,0,0.037267
benchmark/laut/kaluza/1144/sink.smt2,0,0.018847
benchmark/laut/kaluza/1636/sink.smt2,0,0.016861
benchmark/laut/kaluza/405/sink.smt2,1,0.035031
benchmark/laut/kaluza/1800/sink.smt2,1,0.027979
benchmark/laut/kaluza/1211/sink.smt2,1,0.018258
benchmark/laut/kaluza/987/sink.smt2,0,0.033924
benchmark/laut/kaluza/968/sink.smt2,0,0.021096
benchmark/laut/kaluza/1484/sink.smt2,0,0.018706
benchmark/laut/kaluza/1514/sink.smt2,1,0.033989
benchmark/laut/kaluza/1799/sink.smt2,1,0.035984
benchmark/laut/kaluza/1065/sink.smt2,0,0.035667
benchmark/laut/kaluza/1382/sink.smt2,1,0.035667
benchmark/laut/kaluza/1836/sink.smt2,0,0.018632
benchmark/laut/kaluza/1508/sink.smt2,1,0.034713
benchmark/laut/kaluza/1725/sink.smt2,0,0.036923
benchmark/laut/kaluza/763/sink.smt2,1,0.037232
benchmark/laut/kaluza/1745/sink.smt2,1,0.039626
benchmark/laut/kaluza/1289/sink.smt2,1,0.034216
benchmark/laut/kaluza/811/sink.smt2,0,0.034459
benchmark/laut/kaluza/198/sink.smt2,0,0.037527
benchmark/laut/kaluza/765/sink.smt2,0,0.019796
benchmark/laut/kaluza/127/sink.smt2,1,0.017302
benchmark/laut/kaluza/647/sink.smt2,1,0.037168
benchmark/laut/kaluza/1241/sink.smt2,1,0.034731
benchmark/laut/kaluza/1969/sink.smt2,0,0.035516
benchmark/laut/kaluza/1460/sink.smt2,0,0.035124
benchmark/laut/kaluza/92/sink.smt2,1,0.036867
benchmark/laut/kaluza/1180/sink.smt2,0,0.036153
benchmark/laut/kaluza/1919/sink.smt2,1,0.036639
benchmark/laut/kaluza/135/sink.smt2,0,0.033629
benchmark/laut/kaluza/1894/sink.smt2,0,0.037590
benchmark/laut/kaluza/1613/sink.smt2,1,0.019389
benchmark/laut/kaluza/1590/sink.smt2,0,0.035055
benchmark/laut/kaluza/499/sink.smt2,1,0.038386
benchmark/laut/kaluza/512/sink.smt2,0,0.023682
benchmark/laut/kaluza/482/sink.smt2,1,0.036629
benchmark/laut/kaluza/585/sink.smt2,0,0.034734
benchmark/laut/kaluza/118/sink.smt2,0,0.018930
benchmark/laut/kaluza/1958/sink.smt2,0,0.017055
benchmark/laut/kaluza/1446/sink.smt2,1,0.034929
benchmark/laut/kaluza/886/sink.smt2,0,0.018275
benchmark/laut/kaluza/160/sink.smt2,1,0.016997
benchmark/laut/kaluza/1883/sink.smt2,0,0.033474
benchmark/laut/kaluza/1534/sink.smt2,0,0.017687
benchmark/laut/kaluza/814/sink.smt2,0,0.018177
benchmark/laut/kaluza/911/sink.smt2,0,0.035235
benchmark/laut/kaluza/1205/sink.smt2,0,0.033599
benchmark/laut/kaluza/388/sink.smt2,1,0.038296
benchmark/laut/kaluza/564/sink.smt2,1,0.034413
benchmark/laut/kaluza/1347/sink.smt2,0,0.036026
benchmark/laut/kaluza/1389/sink.smt2,1,0.039694
benchmark/laut/kaluza/1162/sink.smt2,1,0.020170
benchmark/laut/kaluza/487/sink.smt2,1,0.035010
benchmark/laut/kaluza/923/sink.smt2,0,0.033671
benchmark/laut/kaluza/702/sink.smt2,0,0.033520
benchmark/laut/kaluza/1351/sink.smt2,0,0.042312
benchmark/laut/kaluza/1002/sink.smt2,1,0.037124
benchmark/laut/kaluza/1564/sink.smt2,0,0.035163
benchmark/laut/kaluza/108/sink.smt2,0,0.035987
benchmark/laut/kaluza/381/sink.smt2,1,0.033229
benchmark/laut/kaluza/1824/sink.smt2,1,0.041531
benchmark/laut/kaluza/768/sink.smt2,0,0.040828
benchmark/laut/kaluza/295/sink.smt2,1,0.019294
benchmark/laut/kaluza/420/sink.smt2,0,0.017610
benchmark/laut/kaluza/823/sink.smt2,1,0.034715
benchmark/laut/kaluza/1752/sink.smt2,1,0.041100
benchmark/laut/kaluza/945/sink.smt2,1,0.034002
benchmark/laut/kaluza/64/sink.smt2,1,0.034884
benchmark/laut/kaluza/544/sink.smt2,1,0.019530
benchmark/laut/kaluza/80/sink.smt2,1,0.034412
benchmark/laut/kaluza/966/sink.smt2,1,0.037811
benchmark/laut/kaluza/1814/sink.smt2,0,0.022137
benchmark/laut/kaluza/561/sink.smt2,0,0.037416
benchmark/laut/kaluza/1602/sink.smt2,0,0.035589
benchmark/laut/kaluza/1333/sink.smt2,0,0.022664
benchmark/laut/kaluza/442/sink.smt2,1,0.034284
benchmark/laut/kaluza/186/sink.smt2,1,0.021309
benchmark/laut/kaluza/1848/sink.smt2,0,0.018873
benchmark/laut/kaluza/284/sink.smt2,1,0.018405
benchmark/laut/kaluza/53/sink.smt2,1,0.017402
benchmark/laut/kaluza/1868/sink.smt2,1,0.041558
benchmark/laut/kaluza/876/sink.smt2,1,0.020212
benchmark/laut/kaluza/411/sink.smt2,0,0.037078
benchmark/laut/kaluza/691/sink.smt2,1,0.037564
benchmark/laut/kaluza/1724/sink.smt2,1,0.021494
benchmark/laut/kaluza/759/sink.smt2,1,0.033567
benchmark/laut/kaluza/1420/sink.smt2,0,0.039453
benchmark/laut/kaluza/1765/sink.smt2,0,0.044285
benchmark/laut/kaluza/1876/sink.smt2,1,0.038656
benchmark/laut/kaluza/745/sink.smt2,0,0.034717
benchmark/laut/kaluza/121/sink.smt2,1,0.068560
benchmark/laut/kaluza/1835/sink.smt2,0,0.036793
benchmark/laut/kaluza/1122/sink.smt2,1,0.033236
benchmark/laut/kaluza/1200/sink.smt2,0,0.035458
benchmark/laut/kaluza/1437/sink.smt2,1,0.038284
benchmark/laut/kaluza/1334/sink.smt2,0,0.017058
benchmark/laut/kaluza/1913/sink.smt2,1,0.018396
benchmark/laut/kaluza/1174/sink.smt2,0,0.018596
benchmark/laut/kaluza/205/sink.smt2,0,0.021419
benchmark/laut/kaluza/149/sink.smt2,1,0.017367
benchmark/laut/kaluza/318/sink.smt2,1,0.016531
benchmark/laut/kaluza/1259/sink.smt2,1,0.018504
benchmark/laut/kaluza/1291/sink.smt2,1,0.020203
benchmark/laut/kaluza/1980/sink.smt2,0,0.020286
benchmark/laut/kaluza/174/sink.smt2,1,0.021119
benchmark/laut/kaluza/762/sink.smt2,1,0.032606
benchmark/laut/kaluza/30/sink.smt2,1,0.069499
benchmark/laut/kaluza/909/sink.smt2,1,0.019667
benchmark/laut/kaluza/316/sink.smt2,1,0.067935
benchmark/laut/kaluza/1077/sink.smt2,0,0.019582
benchmark/laut/kaluza/1742/sink.smt2,0,0.017291
benchmark/laut/kaluza/1156/sink.smt2,0,0.017385
benchmark/laut/kaluza/1668/sink.smt2,0,0.017116
benchmark/laut/kaluza/211/sink.smt2,1,0.019682
benchmark/laut/kaluza/167/sink.smt2,1,0.034498
benchmark/laut/kaluza/1689/sink.smt2,0,0.035911
benchmark/laut/kaluza/851/sink.smt2,0,0.018712
benchmark/laut/kaluza/1917/sink.smt2,0,0.022358
benchmark/laut/kaluza/839/sink.smt2,1,0.021771
benchmark/laut/kaluza/1471/sink.smt2,1,0.037625
benchmark/laut/kaluza/620/sink.smt2,1,0.022551
benchmark/laut/kaluza/1184/sink.smt2,1,0.023956
benchmark/laut/kaluza/1245/sink.smt2,1,0.019077
benchmark/laut/kaluza/873/sink.smt2,1,0.017476
benchmark/laut/kaluza/467/sink.smt2,0,0.019325
benchmark/laut/kaluza/1091/sink.smt2,1,0.036964
benchmark/laut/kaluza/1701/sink.smt2,1,0.038758
benchmark/laut/kaluza/489/sink.smt2,1,0.033799
benchmark/laut/kaluza/276/sink.smt2,1,0.037941
benchmark/laut/kaluza/1239/sink.smt2,1,0.020568
benchmark/laut/kaluza/1834/sink.smt2,0,0.017966
benchmark/laut/kaluza/605/sink.smt2,0,0.021381
benchmark/laut/kaluza/510/sink.smt2,1,0.038068
benchmark/laut/kaluza/1061/sink.smt2,1,0.040837
benchmark/laut/kaluza/1082/sink.smt2,0,0.040512
benchmark/laut/kaluza/1729/sink.smt2,0,0.016536
benchmark/laut/kaluza/13/sink.smt2,1,0.018206
benchmark/laut/kaluza/1518/sink.smt2,0,0.021228
benchmark/laut/kaluza/1455/sink.smt2,0,0.020221
benchmark/laut/kaluza/1686/sink.smt2,0,0.019024
benchmark/laut/kaluza/1978/sink.smt2,1,0.016715
benchmark/laut/kaluza/1699/sink.smt2,0,0.019397
benchmark/laut/kaluza/1905/sink.smt2,0,0.018532
benchmark/laut/kaluza/49/sink.smt2,1,0.020107
benchmark/laut/kaluza/1513/sink.smt2,1,0.017400
benchmark/laut/kaluza/1339/sink.smt2,0,0.018513
benchmark/laut/kaluza/1243/sink.smt2,1,0.020106
benchmark/laut/kaluza/770/sink.smt2,1,0.018403
benchmark/laut/kaluza/1318/sink.smt2,0,0.018910
benchmark/laut/kaluza/257/sink.smt2,1,0.034700
