benchmark=w-lan-rep,solver=abc,TO=20.000000
path,sat,time,step
benchmark/laut/w-lan-rep/5400/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/70/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/16239/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/10483/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/63/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/102/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/56/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/120/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/111/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/5384/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/96/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/39/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/15018/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/52/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/72/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/62/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/110/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/116/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/7172/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/9263/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/54/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/16744/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/16773/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/11149/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/8554/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/16674/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/16755/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/31/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/48/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/32/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/71/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/11165/sink.abc,x,0.000000,x
benchmark/laut/w-lan-rep/3460/sink.abc,x,0.000000,x
