benchmark=w-lan-rep,solver=ic3ia,TO=7200.000000
path,sat,time,step
benchmark/laut/w-lan-rep/5400/sink.vmt,0,22.173109,56
benchmark/laut/w-lan-rep/70/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/16239/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/10483/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/63/sink.vmt,0,2612.664120,109
benchmark/laut/w-lan-rep/102/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/56/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/120/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/111/sink.vmt,0,625.566853,119
benchmark/laut/w-lan-rep/5384/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/96/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/39/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/15018/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/52/sink.vmt,0,0.767320,17
benchmark/laut/w-lan-rep/72/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/62/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/110/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/116/sink.vmt,0,1.121855,16
benchmark/laut/w-lan-rep/7172/sink.vmt,1,7.678940,10
benchmark/laut/w-lan-rep/9263/sink.vmt,0,18.124773,68
benchmark/laut/w-lan-rep/54/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/16744/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/16773/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/11149/sink.vmt,0,49.295265,75
benchmark/laut/w-lan-rep/8554/sink.vmt,0,28.078481,103
benchmark/laut/w-lan-rep/16674/sink.vmt,0,3.874813,26
benchmark/laut/w-lan-rep/16755/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/31/sink.vmt,0,77.092018,73
benchmark/laut/w-lan-rep/48/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/32/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/71/sink.vmt,0,95.550533,96
benchmark/laut/w-lan-rep/11165/sink.vmt,0,45.544857,75
benchmark/laut/w-lan-rep/3460/sink.vmt,0,50.514309,74
benchmark/laut/w-lan-rep/13086/sink.vmt,0,65.679514,76
benchmark/laut/w-lan-rep/13102/sink.vmt,0,65.532595,76
benchmark/laut/w-lan-rep/878/sink.vmt,0,39.293156,60
benchmark/laut/w-lan-rep/2548/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/689/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/36/sink.vmt,0,0.716531,17
benchmark/laut/w-lan-rep/76/sink.vmt,0,1.167261,17
benchmark/laut/w-lan-rep/80/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/46/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/5392/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/3452/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/15010/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/118/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/11004/sink.vmt,0,8.140186,13
benchmark/laut/w-lan-rep/7333/sink.vmt,0,23.116984,66
benchmark/laut/w-lan-rep/112/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/95/sink.vmt,0,941.988371,106
benchmark/laut/w-lan-rep/104/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/84/sink.vmt,0,0.718893,17
benchmark/laut/w-lan-rep/108/sink.vmt,0,1.518242,18
benchmark/laut/w-lan-rep/94/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/870/sink.vmt,0,39.158179,60
benchmark/laut/w-lan-rep/38/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/14857/sink.vmt,0,494.603200,129
benchmark/laut/w-lan-rep/886/sink.vmt,0,40.338412,60
benchmark/laut/w-lan-rep/30/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/12393/sink.vmt,0,33.040601,101
benchmark/laut/w-lan-rep/15002/sink.vmt,0,184.211376,156
benchmark/laut/w-lan-rep/92/sink.vmt,0,1.769440,17
benchmark/laut/w-lan-rep/79/sink.vmt,0,121.738202,97
benchmark/laut/w-lan-rep/13094/sink.vmt,0,66.015503,76
benchmark/laut/w-lan-rep/78/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/87/sink.vmt,0,3415.522984,110
benchmark/laut/w-lan-rep/11157/sink.vmt,0,46.794472,75
benchmark/laut/w-lan-rep/100/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/55/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/4692/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/86/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/88/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/9102/sink.vmt,1,27.916133,15
benchmark/laut/w-lan-rep/64/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/12941/sink.vmt,0,32.555879,43
benchmark/laut/w-lan-rep/9247/sink.vmt,0,34.575293,69
benchmark/laut/w-lan-rep/14327/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/28/sink.vmt,0,0.767409,17
benchmark/laut/w-lan-rep/7317/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/60/sink.vmt,0,2.669545,14
benchmark/laut/w-lan-rep/44/sink.vmt,0,0.766024,17
benchmark/laut/w-lan-rep/6624/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/9255/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/7325/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/40/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/3307/sink.vmt,1,16.114386,16
benchmark/laut/w-lan-rep/119/sink.vmt,t,0.0,0
