benchmark=w-lan-rep,solver=ic3ia,TO=1.000000
path,sat,time,step
benchmark/laut/w-lan-rep/5400/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/70/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/16239/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/10483/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/63/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/102/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/56/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/120/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/111/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/5384/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/96/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/39/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/15018/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/52/sink.vmt,0,0.767227,17
benchmark/laut/w-lan-rep/72/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/62/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/110/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/116/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/9263/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/54/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/11149/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/8554/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/16674/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/31/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/48/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/32/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/71/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/11165/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/3460/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/13086/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/13102/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/878/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/2548/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/36/sink.vmt,0,0.767707,17
benchmark/laut/w-lan-rep/76/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/80/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/46/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/5392/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/3452/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/15010/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/118/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/7333/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/112/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/95/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/104/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/84/sink.vmt,0,0.717467,18
benchmark/laut/w-lan-rep/108/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/94/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/870/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/38/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/886/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/30/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/12393/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/15002/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/92/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/79/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/13094/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/78/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/87/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/11157/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/100/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/55/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/4692/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/86/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/88/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/64/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/9247/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/14327/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/28/sink.vmt,0,0.767726,17
benchmark/laut/w-lan-rep/7317/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/60/sink.vmt,0,0.667532,16
benchmark/laut/w-lan-rep/44/sink.vmt,0,0.667603,16
benchmark/laut/w-lan-rep/6624/sink.vmt,x,0.000000,x
benchmark/laut/w-lan-rep/9255/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/7325/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/40/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/119/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/68/sink.vmt,0,0.767687,18
benchmark/laut/w-lan-rep/103/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/3468/sink.vmt,t,0.0,0
benchmark/laut/w-lan-rep/47/sink.vmt,t,0.0,0
