benchmark=x-str-rep,solver=abc,TO=20.000000
path,sat,time,step
benchmark/laut/x-str-rep/8277/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17045/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17081/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2992/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/16958/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17671/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/4415/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20916/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21073/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29618/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/31391/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29952/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19154/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19192/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/4414/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/10934/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19767/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29717/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2174/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29796/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20896/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17434/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/3049/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/24787/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/24868/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19302/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/12871/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21006/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17552/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/24872/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20652/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/6347/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/31650/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/26235/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/18974/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20751/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/8275/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2183/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29438/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21420/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17149/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21359/sink.abc,x,0.000000,x
