benchmark=x-str-rep,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/x-str-rep/8277/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17045/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17081/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/2992/sink.vmt,0,0.067879,1
benchmark/laut/x-str-rep/16958/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17671/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/4415/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20916/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21073/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29618/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/31391/sink.vmt,1,135.021174,200
benchmark/laut/x-str-rep/29952/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19154/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19192/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/4414/sink.vmt,1,16.021603,52
benchmark/laut/x-str-rep/10934/sink.vmt,1,4.979730,23
benchmark/laut/x-str-rep/19767/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29717/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/2174/sink.vmt,x,0.000000,x
benchmark/laut/x-str-rep/29796/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20896/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17434/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/3049/sink.vmt,0,0.065405,1
benchmark/laut/x-str-rep/24787/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/24868/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19302/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/12871/sink.vmt,0,9.897996,52
benchmark/laut/x-str-rep/21006/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17552/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/24872/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20652/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/6347/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/31650/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/26235/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/18974/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20751/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/8275/sink.vmt,0,168.999481,13
benchmark/laut/x-str-rep/2183/sink.vmt,0,10.100031,32
benchmark/laut/x-str-rep/29438/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21420/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17149/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21359/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21170/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20954/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/30115/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20771/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/598/sink.vmt,1,6.088774,21
benchmark/laut/x-str-rep/29505/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19595/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20937/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/18168/sink.vmt,0,52.478784,138
benchmark/laut/x-str-rep/31677/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29485/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19854/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21041/sink.vmt,0,123.698386,127
benchmark/laut/x-str-rep/32927/sink.vmt,t,0.0,0
