benchmark=x-str-rep,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/x-str-rep/8277/sink.s3,t,0.0
benchmark/laut/x-str-rep/17045/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17081/sink.s3,x,0.000000
benchmark/laut/x-str-rep/2992/sink.s3,0,0.065296
benchmark/laut/x-str-rep/16958/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17671/sink.s3,x,0.000000
benchmark/laut/x-str-rep/4415/sink.s3,1,0.215388
benchmark/laut/x-str-rep/20916/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21073/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29618/sink.s3,x,0.000000
benchmark/laut/x-str-rep/31391/sink.s3,t,0.0
benchmark/laut/x-str-rep/29952/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19154/sink.s3,t,0.0
benchmark/laut/x-str-rep/19192/sink.s3,x,0.000000
benchmark/laut/x-str-rep/4414/sink.s3,1,0.065131
benchmark/laut/x-str-rep/10934/sink.s3,1,0.115247
benchmark/laut/x-str-rep/19767/sink.s3,t,0.0
benchmark/laut/x-str-rep/29717/sink.s3,x,0.000000
benchmark/laut/x-str-rep/2174/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29796/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20896/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17434/sink.s3,x,0.000000
benchmark/laut/x-str-rep/3049/sink.s3,0,0.065517
benchmark/laut/x-str-rep/24787/sink.s3,0,0.065609
benchmark/laut/x-str-rep/24868/sink.s3,0,0.065665
benchmark/laut/x-str-rep/19302/sink.s3,0,0.115703
benchmark/laut/x-str-rep/12871/sink.s3,0,0.065603
benchmark/laut/x-str-rep/21006/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17552/sink.s3,0,0.115881
benchmark/laut/x-str-rep/24872/sink.s3,0,0.065644
benchmark/laut/x-str-rep/20652/sink.s3,x,0.000000
benchmark/laut/x-str-rep/6347/sink.s3,0,0.216014
benchmark/laut/x-str-rep/31650/sink.s3,0,0.065668
benchmark/laut/x-str-rep/26235/sink.s3,0,0.065763
benchmark/laut/x-str-rep/18974/sink.s3,0,0.115784
benchmark/laut/x-str-rep/20751/sink.s3,x,0.000000
benchmark/laut/x-str-rep/8275/sink.s3,0,0.115801
benchmark/laut/x-str-rep/2183/sink.s3,0,0.065511
benchmark/laut/x-str-rep/29438/sink.s3,0,0.115722
benchmark/laut/x-str-rep/21420/sink.s3,0,0.216096
benchmark/laut/x-str-rep/17149/sink.s3,0,0.115827
benchmark/laut/x-str-rep/21359/sink.s3,0,0.215763
benchmark/laut/x-str-rep/21170/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20954/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30115/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20771/sink.s3,x,0.000000
benchmark/laut/x-str-rep/598/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29505/sink.s3,0,0.115780
benchmark/laut/x-str-rep/19595/sink.s3,0,0.115814
benchmark/laut/x-str-rep/20937/sink.s3,x,0.000000
benchmark/laut/x-str-rep/18168/sink.s3,x,0.000000
benchmark/laut/x-str-rep/31677/sink.s3,0,0.065804
benchmark/laut/x-str-rep/29485/sink.s3,0,0.115870
benchmark/laut/x-str-rep/19854/sink.s3,0,0.065714
benchmark/laut/x-str-rep/21041/sink.s3,0,0.216234
benchmark/laut/x-str-rep/32927/sink.s3,0,0.065644
benchmark/laut/x-str-rep/20560/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20850/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21149/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17409/sink.s3,0,0.115710
benchmark/laut/x-str-rep/30095/sink.s3,0,0.115824
benchmark/laut/x-str-rep/30220/sink.s3,0,0.115749
benchmark/laut/x-str-rep/19209/sink.s3,0,0.115813
benchmark/laut/x-str-rep/19233/sink.s3,0,0.115748
benchmark/laut/x-str-rep/14048/sink.s3,0,0.115822
benchmark/laut/x-str-rep/29526/sink.s3,0,0.115511
benchmark/laut/x-str-rep/31893/sink.s3,0,0.065638
benchmark/laut/x-str-rep/17979/sink.s3,0,0.115958
benchmark/laut/x-str-rep/2178/sink.s3,0,0.065735
benchmark/laut/x-str-rep/29816/sink.s3,0,0.115800
benchmark/laut/x-str-rep/29862/sink.s3,0,0.115936
benchmark/laut/x-str-rep/20539/sink.s3,x,0.000000
benchmark/laut/x-str-rep/8291/sink.s3,0,0.115840
benchmark/laut/x-str-rep/2184/sink.s3,0,0.065606
benchmark/laut/x-str-rep/19088/sink.s3,0,0.115771
benchmark/laut/x-str-rep/25037/sink.s3,0,0.065586
benchmark/laut/x-str-rep/19488/sink.s3,0,0.115954
benchmark/laut/x-str-rep/2164/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20519/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21416/sink.s3,0,0.216091
benchmark/laut/x-str-rep/12114/sink.s3,0,0.115747
benchmark/laut/x-str-rep/12130/sink.s3,0,0.115850
benchmark/laut/x-str-rep/29990/sink.s3,0,0.115961
benchmark/laut/x-str-rep/30184/sink.s3,0,0.115896
benchmark/laut/x-str-rep/19137/sink.s3,0,0.115675
benchmark/laut/x-str-rep/10204/sink.s3,0,0.115868
benchmark/laut/x-str-rep/29348/sink.s3,0,0.065695
benchmark/laut/x-str-rep/29837/sink.s3,0,0.115829
benchmark/laut/x-str-rep/2182/sink.s3,0,0.065733
benchmark/laut/x-str-rep/2185/sink.s3,0,0.065754
benchmark/laut/x-str-rep/19745/sink.s3,0,0.115698
benchmark/laut/x-str-rep/10220/sink.s3,1,0.266262
benchmark/laut/x-str-rep/33236/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20623/sink.s3,x,0.000000
benchmark/laut/x-str-rep/6346/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19755/sink.s3,t,0.0
benchmark/laut/x-str-rep/30007/sink.s3,1,0.165564
benchmark/laut/x-str-rep/30552/sink.s3,1,0.165136
benchmark/laut/x-str-rep/19373/sink.s3,x,0.000000
benchmark/laut/x-str-rep/8280/sink.s3,t,0.0
benchmark/laut/x-str-rep/29462/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29569/sink.s3,x,0.000000
benchmark/laut/x-str-rep/2179/sink.s3,1,0.115059
benchmark/laut/x-str-rep/20830/sink.s3,x,0.000000
benchmark/laut/x-str-rep/15962/sink.s3,1,0.215732
benchmark/laut/x-str-rep/29589/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30060/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30166/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30320/sink.s3,1,0.215699
benchmark/laut/x-str-rep/21218/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19826/sink.s3,t,0.0
benchmark/laut/x-str-rep/15976/sink.s3,1,0.316065
benchmark/laut/x-str-rep/21200/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29326/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17856/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19332/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17131/sink.s3,x,0.000000
benchmark/laut/x-str-rep/14050/sink.s3,1,0.215239
benchmark/laut/x-str-rep/19041/sink.s3,x,0.000000
