benchmark=x-str-rep,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/x-str-rep/8277/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17045/sink.smt2,1,5.581753
benchmark/laut/x-str-rep/17081/sink.smt2,1,1.020034
benchmark/laut/x-str-rep/2992/sink.smt2,0,0.033770
benchmark/laut/x-str-rep/16958/sink.smt2,1,0.267706
benchmark/laut/x-str-rep/22460/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17671/sink.smt2,t,0.0
benchmark/laut/x-str-rep/4415/sink.smt2,1,0.316705
benchmark/laut/x-str-rep/20916/sink.smt2,1,0.769881
benchmark/laut/x-str-rep/21073/sink.smt2,1,0.266498
benchmark/laut/x-str-rep/29618/sink.smt2,1,2.283144
benchmark/laut/x-str-rep/31391/sink.smt2,1,0.216697
benchmark/laut/x-str-rep/29952/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19154/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19192/sink.smt2,t,0.0
benchmark/laut/x-str-rep/4414/sink.smt2,1,0.067546
benchmark/laut/x-str-rep/10934/sink.smt2,1,0.067913
benchmark/laut/x-str-rep/19767/sink.smt2,t,0.0
benchmark/laut/x-str-rep/29717/sink.smt2,t,0.0
benchmark/laut/x-str-rep/2174/sink.smt2,1,0.065234
benchmark/laut/x-str-rep/29796/sink.smt2,1,5.379924
benchmark/laut/x-str-rep/20896/sink.smt2,1,0.467440
benchmark/laut/x-str-rep/17434/sink.smt2,1,1.770442
benchmark/laut/x-str-rep/3049/sink.smt2,0,0.034136
benchmark/laut/x-str-rep/24787/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/24868/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19302/sink.smt2,t,0.0
benchmark/laut/x-str-rep/12871/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21006/sink.smt2,1,0.367045
benchmark/laut/x-str-rep/17552/sink.smt2,1,0.718103
benchmark/laut/x-str-rep/24872/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20652/sink.smt2,1,0.517393
benchmark/laut/x-str-rep/6347/sink.smt2,1,6.784847
benchmark/laut/x-str-rep/31650/sink.smt2,1,0.168395
benchmark/laut/x-str-rep/26235/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18974/sink.smt2,1,16.562567
benchmark/laut/x-str-rep/20751/sink.smt2,1,0.467276
benchmark/laut/x-str-rep/8275/sink.smt2,t,0.0
benchmark/laut/x-str-rep/23165/sink.smt2,1,0.165782
benchmark/laut/x-str-rep/2183/sink.smt2,1,0.065722
benchmark/laut/x-str-rep/29438/sink.smt2,1,8.190612
benchmark/laut/x-str-rep/21420/sink.smt2,1,3.977688
benchmark/laut/x-str-rep/17149/sink.smt2,1,1.820096
benchmark/laut/x-str-rep/21359/sink.smt2,1,3.976149
benchmark/laut/x-str-rep/21170/sink.smt2,1,0.467426
benchmark/laut/x-str-rep/20954/sink.smt2,1,0.467375
benchmark/laut/x-str-rep/30115/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20771/sink.smt2,1,0.416454
benchmark/laut/x-str-rep/598/sink.smt2,1,0.065647
benchmark/laut/x-str-rep/29505/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19595/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20937/sink.smt2,1,0.516670
benchmark/laut/x-str-rep/18168/sink.smt2,1,0.115804
benchmark/laut/x-str-rep/31677/sink.smt2,1,0.165895
benchmark/laut/x-str-rep/29485/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19854/sink.smt2,1,0.167816
benchmark/laut/x-str-rep/21041/sink.smt2,1,0.468630
benchmark/laut/x-str-rep/32927/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20560/sink.smt2,1,0.416930
benchmark/laut/x-str-rep/20850/sink.smt2,1,0.467370
benchmark/laut/x-str-rep/21149/sink.smt2,1,0.417086
benchmark/laut/x-str-rep/17409/sink.smt2,1,4.428343
benchmark/laut/x-str-rep/30095/sink.smt2,t,0.0
benchmark/laut/x-str-rep/30220/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19209/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19233/sink.smt2,t,0.0
benchmark/laut/x-str-rep/14048/sink.smt2,x,0.000000
