benchmark=kaluza,solver=cvc4,TO=1.000000
path,sat,time
benchmark/laut/kaluza/100/sink.smt2,x,0.0
benchmark/laut/kaluza/1/sink.smt2,x,0.0
benchmark/laut/kaluza/2/sink.smt2,x,0.0
benchmark/laut/kaluza/3/sink.smt2,x,0.0
benchmark/laut/kaluza/4/sink.smt2,x,0.0
benchmark/laut/kaluza/5/sink.smt2,x,0.0
benchmark/laut/kaluza/6/sink.smt2,x,0.0
benchmark/laut/kaluza/7/sink.smt2,x,0.0
benchmark/laut/kaluza/8/sink.smt2,x,0.0
benchmark/laut/kaluza/9/sink.smt2,x,0.0
benchmark/laut/kaluza/10/sink.smt2,x,0.0
benchmark/laut/kaluza/11/sink.smt2,x,0.0
benchmark/laut/kaluza/12/sink.smt2,x,0.0
benchmark/laut/kaluza/13/sink.smt2,x,0.0
benchmark/laut/kaluza/14/sink.smt2,x,0.0
benchmark/laut/kaluza/15/sink.smt2,x,0.0
benchmark/laut/kaluza/16/sink.smt2,x,0.0
benchmark/laut/kaluza/17/sink.smt2,x,0.0
benchmark/laut/kaluza/18/sink.smt2,x,0.0
benchmark/laut/kaluza/19/sink.smt2,x,0.0
benchmark/laut/kaluza/20/sink.smt2,x,0.0
benchmark/laut/kaluza/21/sink.smt2,x,0.0
benchmark/laut/kaluza/22/sink.smt2,x,0.0
benchmark/laut/kaluza/23/sink.smt2,x,0.0
benchmark/laut/kaluza/24/sink.smt2,x,0.0
benchmark/laut/kaluza/25/sink.smt2,x,0.0
benchmark/laut/kaluza/26/sink.smt2,x,0.0
benchmark/laut/kaluza/27/sink.smt2,x,0.0
benchmark/laut/kaluza/28/sink.smt2,x,0.0
benchmark/laut/kaluza/29/sink.smt2,x,0.0
benchmark/laut/kaluza/30/sink.smt2,x,0.0
benchmark/laut/kaluza/31/sink.smt2,x,0.0
benchmark/laut/kaluza/32/sink.smt2,x,0.0
benchmark/laut/kaluza/33/sink.smt2,x,0.0
benchmark/laut/kaluza/34/sink.smt2,x,0.0
benchmark/laut/kaluza/35/sink.smt2,x,0.0
benchmark/laut/kaluza/36/sink.smt2,x,0.0
benchmark/laut/kaluza/37/sink.smt2,x,0.0
benchmark/laut/kaluza/38/sink.smt2,x,0.0
benchmark/laut/kaluza/39/sink.smt2,x,0.0
benchmark/laut/kaluza/40/sink.smt2,x,0.0
benchmark/laut/kaluza/41/sink.smt2,x,0.0
benchmark/laut/kaluza/42/sink.smt2,x,0.0
benchmark/laut/kaluza/43/sink.smt2,x,0.0
benchmark/laut/kaluza/44/sink.smt2,x,0.0
benchmark/laut/kaluza/45/sink.smt2,x,0.0
benchmark/laut/kaluza/46/sink.smt2,x,0.0
benchmark/laut/kaluza/47/sink.smt2,x,0.0
benchmark/laut/kaluza/48/sink.smt2,x,0.0
benchmark/laut/kaluza/49/sink.smt2,x,0.0
benchmark/laut/kaluza/50/sink.smt2,x,0.0
benchmark/laut/kaluza/51/sink.smt2,x,0.0
